"","X","player_id","name","club","league","height_cm","weight_kg","position","foot","country","age","PD_Info","Goals","Assists","Non.Penalty.Goals","Penalty.Kicks.Made","Penalty.Kicks.Attempted","Yellow.Cards","Red.Cards","xG","Non.Penalty.xG","xG.Assisted","npxG...xA","Shots.Total","Shots.on.target","Shots.on.target..","Goals.Shot","Goals.Shot.on.target","Average.Shot.Distance","Shots.from.free.kicks","npxG.Sh","Goals...xG","Non.Penalty.Goals...npxG","Passes.Completed","Passes.Attempted","Pass.Completion..","Total.Passing.Distance","Progressive.Passing.Distance","Passes.Completed..Short.","Passes.Attempted..Short.","Pass.Completion....Short.","Passes.Completed..Medium.","Passes.Attempted..Medium.","Pass.Completion....Medium.","Passes.Completed..Long.","Passes.Attempted..Long.","Pass.Completion....Long.","Key.Passes","Passes.into.Final.Third","Passes.into.Penalty.Area","Crosses.into.Penalty.Area","Progressive.Passes","Live.ball.passes","Dead.ball.passes","Passes.from.Free.Kicks","Through.Balls","Passes.Under.Pressure","Switches","Crosses","Corner.Kicks","Inswinging.Corner.Kicks","Outswinging.Corner.Kicks","Straight.Corner.Kicks","Ground.passes","Low.Passes","High.Passes","Passes.Attempted..Left.","Passes.Attempted..Right.","Passes.Attempted..Head.","Throw.Ins.taken","Passes.Attempted..Other.","Passes.Offside","Passes.Out.of.Bounds","Passes.Intercepted","Passes.Blocked","Shot.Creating.Actions","SCA..PassLive.","SCA..PassDead.","SCA..Drib.","SCA..Sh.","SCA..Fld.","SCA..Def.","Goal.Creating.Actions","GCA..PassLive.","GCA..PassDead.","GCA..Drib.","GCA..Sh.","GCA..Fld.","GCA..Def.","Tackles","Tackles.Won","Tackles..Def.3rd.","Tackles..Mid.3rd.","Tackles..Att.3rd.","Dribblers.Tackled","Dribbles.Contested","X..of.dribblers.tackled","Dribbled.Past","Pressures","Successful.Pressures","Successful.Pressure..","Pressures..Def.3rd.","Pressures..Mid.3rd.","Pressures..Att.3rd.","Blocks","Shots.Blocked","Shots.Saved","Interceptions","Tkl.Int","Clearances","Errors","Touches","Touches..Def.Pen.","Touches..Def.3rd.","Touches..Mid.3rd.","Touches..Att.3rd.","Touches..Att.Pen.","Touches..Live.Ball.","Dribbles.Completed","Dribbles.Attempted","Successful.Dribble..","Players.Dribbled.Past","Nutmegs","Carries","Total.Carrying.Distance","Progressive.Carrying.Distance","Progressive.Carries","Carries.into.Final.Third","Carries.into.Penalty.Area","Miscontrols","Dispossessed","Pass.Targets","Passes.Received","Passes.Received..","Progressive.Passes.Rec","Second.Yellow.Card","Fouls.Committed","Fouls.Drawn","Offsides","Penalty.Kicks.Won","Penalty.Kicks.Conceded","Own.Goals","Ball.Recoveries","Aerials.won","Aerials.lost","X..of.Aerials.Won","k_cluster"
"1",2,"b827d5b3","Marc Albrighton","Leicester City","Premier League",175,67,"Att Mid / Wing","Right","England",32.92,"Marc Albrighton - 32.92 - Leicester City",0,0.18,0,0,0,0.27,0,0.05,0.05,0.16,0.21,0.27,0,0,0,NA,16.5,0,0.16,-0.05,-0.05,31.28,48.15,65,488.3,215.84,18.51,21.61,85.7,10.03,15.05,66.7,2.1,8.39,25,1,1.82,1,0.46,3.01,39.48,8.66,1.28,0,8.3,2.19,2.74,2.28,1.55,0.27,0,27.63,9.85,10.67,3.37,37.39,1.64,5.11,0.09,0.46,0.27,2.74,2.1,1.55,1.19,0.18,0,0,0.18,0,0.18,0.18,0,0,0,0,0,3.19,1.73,1.46,1.09,0.64,1.19,3.92,30.2,2.74,22.16,5.2,23.5,7.93,10.49,3.74,2.55,0.46,0.09,2.19,5.38,1,0,59.64,3.1,13.95,27.72,21.06,1,51.06,1.19,2.74,43.3,1.28,0.27,34.83,141.7,68.3,2.46,1.19,0,1,0.64,41.4,34.29,82.8,2.01,0,0.64,1.46,0.18,0,0,0,6.75,0.55,0.91,37.5,2
"2",3,"cea4ee8f","Dele Alli","Everton","Premier League",188,76,"Att Mid / Wing","Right","England",26.52,"Dele Alli - 26.52 - Everton",0,0,0,0,0,0.5,0,0.08,0.08,0.18,0.27,0.67,0.17,25,0,0,18,0,0.13,-0.08,-0.08,27.83,37.5,74.2,446.83,113.5,13.33,17,78.4,10.5,13,80.8,2.33,4.33,53.8,1.5,2.33,0.83,0.17,2.83,35,2.5,0.67,0.17,9.5,0.17,0.83,0.17,0,0,0,26.33,6.67,4.5,1,32.33,1.5,0.67,0.5,0.5,0.67,2.17,2.17,2.17,2,0.17,0,0,0,0,0.17,0.17,0,0,0,0,0,3,1.83,1,1.33,0.67,0.83,2.5,33.3,1.67,34.5,8.83,25.6,9,17.17,8.33,2.5,0.33,0,2.67,5.67,1.83,0,57.33,3.5,12.5,29.83,19.5,4,55,1.17,3,38.9,1.17,0.33,36.17,160.33,78.67,2.5,1.17,0.17,3,3.33,45.5,34.67,76.2,6.17,0,2.67,2,0.67,0,0,0,9.17,2.33,3,43.8,2
"3",9,"97333cf5","Stuart Armstrong","Southampton","Premier League",183,68,"Att Mid / Wing","Right","Scotland",30.55,"Stuart Armstrong - 30.55 - Southampton",0.1,0,0.1,0,0,0.15,0,0.16,0.16,0.09,0.25,2.24,0.49,21.7,0.04,0.2,19.8,0,0.07,-0.06,-0.06,35.25,43.59,80.9,569.35,144.41,18.38,21.7,84.7,12.77,14.77,86.5,2.97,4.49,66.3,1.46,2.34,1.9,0.44,4.53,41.78,1.8,0.1,0.1,6.83,0.59,2,0.1,0,0.05,0,33.3,5.27,5.02,7.75,33.74,1.02,0.44,0.39,0.15,0.49,1.95,1.22,3.27,2.58,0.1,0.1,0.15,0.29,0.05,0.1,0.05,0,0,0,0.05,0,1.66,0.98,0.78,0.49,0.39,0.39,2,19.5,1.61,15.65,4.78,30.5,4.44,6.73,4.49,1.27,0.05,0,0.88,2.54,0.88,0,56.51,1.56,7.85,26.86,27.06,3.27,54.75,1.46,3.27,44.8,1.66,0.15,42.9,267.56,136.46,6.87,2.78,0.68,1.61,1.71,46.17,40.12,86.9,4.58,0,0.78,1.46,0.1,0.05,0,0,8.97,0.39,1.22,24.2,2
"4",12,"da052c14","Jordan Ayew","Crystal Palace","Premier League",182,81,"Att Mid / Wing","Right","Ghana",31.11,"Jordan Ayew - 31.11 - Crystal Palace",0.13,0.13,0.13,0,0,0.09,0,0.15,0.15,0.11,0.26,1.16,0.39,33.3,0.11,0.33,15.3,0,0.13,-0.02,-0.02,23.71,31.21,76,372.67,79.96,12.84,14.78,86.9,8.71,10.86,80.2,1.68,3.36,50,1.08,1.21,0.69,0.3,2.11,30.69,0.52,0.17,0.04,6.55,0.56,2.07,0.04,0,0,0,22.03,4.66,4.53,1.94,25.86,1.25,0.3,0.39,0.04,0.39,1.34,1.25,2.24,1.47,0.04,0.22,0.17,0.3,0.04,0.3,0.17,0,0,0,0.09,0.04,2.59,1.68,0.95,0.95,0.69,0.52,1.16,44.4,0.65,24.05,6.77,28.1,5.86,11.16,7.03,1.42,0.17,0,1.03,3.62,0.69,0,48.58,1.16,7.72,25.95,19.96,3.15,48.19,1.81,3.41,53.2,1.94,0.22,36.77,219.61,132.2,5.99,1.98,0.82,3.15,3.66,48.02,34.91,72.7,3.79,0,2.24,3.32,0.04,0.04,0,0,6.16,1.77,3.53,33.3,2
"5",19,"66b76d44","Emi Buendía","Aston Villa","Premier League",170,64,"Att Mid / Wing","Right","Argentina",25.82,"Emi Buendía - 25.82 - Aston Villa",0.18,0.28,0.18,0,0,0,0,0.2,0.2,0.24,0.44,2.21,0.74,33.3,0.08,0.25,16.7,0.05,0.09,-0.01,-0.01,35.64,44.1,80.8,592.15,151.81,18.07,20.92,86.4,12.97,16,81,3.45,4.74,72.8,2.02,3.36,2.16,0.05,5.61,41.76,2.35,0.51,0.41,9.52,1.1,0.87,0.51,0.28,0,0,34.4,5.1,4.6,5.24,36.52,0.74,0.37,0.32,0.23,0.78,2.35,0.92,3.5,2.71,0.14,0.18,0.09,0.37,0,0.51,0.37,0,0.09,0.05,0,0,2.25,1.43,1.15,0.83,0.28,0.83,2.21,37.5,1.38,19.68,5.38,27.3,4.87,9.01,5.79,1.15,0.23,0,0.78,3.04,0.18,0,57.62,1.2,6.94,28.51,25.75,4.14,55.51,1.43,2.39,59.6,1.52,0.09,41.9,198.17,106.92,6.35,1.98,0.46,1.75,2.62,49.81,41.94,84.2,5.84,0,1.24,2.48,0.23,0,0.05,0,8,1.24,2.16,36.5,2
"6",23,"0ef89a37","Philippe Coutinho","Aston Villa","Premier League",172,68,"Att Mid / Wing","Right","Brazil",30.35,"Philippe Coutinho - 30.35 - Aston Villa",0.25,0.12,0.21,0.04,0.04,0.12,0,0.26,0.22,0.15,0.37,2.97,0.99,33.3,0.07,0.21,19.9,0.33,0.08,-0.01,-0.02,37.39,46.18,81,608.09,143.65,20.14,22.7,88.7,13.21,15.47,85.3,3.14,5.57,56.3,1.32,4.21,1.03,0.21,4.04,43.54,2.64,0.95,0.12,7.96,0.78,0.99,0.54,0.17,0.29,0,34.83,4.62,6.73,2.85,40.81,1.2,0.33,0.58,0.25,0.83,1.44,1.2,3.22,2.35,0.17,0.29,0.25,0.17,0,0.37,0.29,0,0,0.04,0.04,0,1.4,0.83,0.41,0.58,0.41,0.45,1.16,39.3,0.7,13.91,3.22,23.1,2.93,6.97,4,1.24,0.04,0,0.66,2.06,0.29,0.04,59.55,0.62,5.24,31.65,28.35,3.59,56.78,2.15,3.3,65,2.27,0.37,45.02,229.02,134.53,8.05,3.43,0.87,2.52,2.06,56.95,46.42,81.5,5.69,0,1.2,1.94,0.33,0.04,0,0,5.94,0.58,1.44,28.6,2
"7",33,"82927de4","Pablo Fornals","West Ham","Premier League",178,67,"Att Mid / Wing","Right","Spain",26.65,"Pablo Fornals - 26.65 - West Ham",0.13,0.13,0.13,0,0,0.08,0,0.11,0.11,0.16,0.28,1.34,0.33,25,0.1,0.38,19.4,0,0.09,0.02,0.02,33.21,45.13,73.6,625.49,207.21,15.01,17.53,85.6,12.43,15.83,78.5,4.81,9.04,53.3,1.34,3.48,1.54,0.39,5.05,42.48,2.65,0.28,0.31,7.77,2.16,1.7,1.62,1.34,0.08,0.03,30.76,5.41,8.96,5.1,37.64,1.08,0.31,0.36,0.15,0.77,2.24,1.47,2.57,1.91,0.31,0.13,0.15,0.05,0.03,0.23,0.13,0.05,0,0.05,0,0,1.57,1.11,0.77,0.51,0.28,0.72,2.6,27.7,1.88,20.54,5.12,24.9,6.33,9.22,4.99,1.54,0.08,0,1.67,3.24,0.51,0,55.07,1.16,9.99,26.16,21.75,2.24,52.44,0.9,1.65,54.7,1,0.31,36.43,179.82,93.99,4.99,1.36,0.41,1.18,0.93,46.36,38.13,82.2,4.17,0,0.9,1.06,0.28,0,0,0,7.65,0.77,1.49,34.1,2
"8",36,"32f60ed8","Morgan Gibbs White","Wolves","Premier League",177,67,"Att Mid / Wing","Right","England",22.72,"Morgan Gibbs White - 22.72 - Wolves",0,0.2,0,0,0,0.1,0,0.13,0.13,0.12,0.26,1.31,0.3,23.1,0,0,18.4,0.2,0.1,-0.13,-0.13,26.72,39.78,67.2,482.54,161.42,13.46,17.58,76.6,8.74,11.55,75.7,3.82,8.64,44.2,1.31,3.11,1.61,0.2,3.62,34.35,5.42,1.71,0.2,7.13,2.61,1.61,2.81,1,1.31,0.4,22.8,6.33,10.65,2.01,32.85,2.01,0.5,0.9,0.2,1,1.31,1.1,2.41,1.21,0.8,0.3,0.1,0,0,0.2,0,0.2,0,0,0,0,1.1,0.6,0.6,0.3,0.2,0.2,0.6,33.3,0.4,13.06,3.62,27.7,2.71,6.03,4.32,1.31,0.2,0,0.7,1.81,0.4,0,51.23,0.9,6.13,24.81,23.71,2.21,45.7,1.31,2.81,46.4,1.61,0.4,33.05,149.46,80.56,4.42,1.71,0.3,2.61,1.71,49.12,34.75,70.8,6.23,0,1.1,1.31,0,0,0,0,6.53,1.61,2.81,36.4,2
"9",58,"26f6dca8","Manuel Lanzini","West Ham","Premier League",170,66,"Att Mid / Wing","Right","Argentina",29.67,"Manuel Lanzini - 29.67 - West Ham",0.18,0.11,0.07,0.11,0.11,0.15,0,0.16,0.08,0.11,0.19,0.77,0.22,28.6,0.1,0.33,20.4,0.04,0.11,0.02,-0.01,55.28,61.39,90,889.32,208.21,28.68,30.44,94.2,20.82,22.87,91,4.17,5.41,77,1.24,4.43,1.24,0.07,4.54,58.5,2.89,0.55,0.15,8.82,0.91,0.51,0.7,0.59,0,0,50.12,5.74,5.52,5.34,53.82,1.43,0.33,0.22,0.11,0.59,1.35,0.95,2.71,2.09,0.29,0.11,0.07,0.11,0.04,0.44,0.29,0.04,0.04,0,0.04,0.04,1.32,1.1,0.4,0.59,0.33,0.62,2.12,29.3,1.5,18.99,4.76,25,5.01,9.77,4.21,0.99,0.04,0,1.24,2.56,0.29,0,68.85,1.24,11.89,41.16,20.16,2.16,65.96,0.88,1.43,61.5,0.95,0.07,50.85,246.22,113.23,6,1.79,0.44,0.77,1.02,58.02,51.66,89,3.07,0,1.13,1.17,0.15,0,0,0,9.11,0.26,1.02,20,2
"10",60,"ee38d9c5","James Maddison","Leicester City","Premier League",175,72,"Att Mid / Wing","Right","England",25.91,"James Maddison - 25.91 - Leicester City",0.53,0.35,0.53,0,0,0.24,0,0.3,0.3,0.2,0.49,3,1.3,43.1,0.18,0.41,20.2,0.53,0.1,0.23,0.23,32.84,44.53,73.7,626.61,182.39,13.49,15.37,87.7,14.08,17.2,81.8,4.68,9.98,46.9,2,3.48,1.35,0.24,4.09,38.2,6.33,2.41,0.21,6.48,2.5,2.03,3.36,1.86,1.06,0.12,29.92,4.71,9.9,4.3,39.02,0.82,0.21,0.09,0.15,0.68,1.91,0.88,4.33,2.36,0.68,0.44,0.32,0.44,0.09,0.8,0.56,0.09,0.03,0.03,0.06,0.03,1.65,0.85,0.5,0.85,0.29,0.27,1.12,23.7,0.85,17.79,4.03,22.7,4.18,8.98,4.62,0.97,0.09,0,0.91,2.56,0.32,0,56.25,0.85,6.77,28.98,23.97,3.27,50.15,1.62,2.41,67.1,1.68,0.09,39.88,196.46,99.69,5.71,1.59,0.53,1.53,1.18,49.77,40.91,82.2,5.36,0,1.21,3.21,0.12,0.03,0,0,4.74,0.12,0.91,11.4,2
