"","X","player_id","name","club","league","height_cm","weight_kg","position","foot","country","age","PD_Info","Goals","Assists","Non.Penalty.Goals","Penalty.Kicks.Made","Penalty.Kicks.Attempted","Yellow.Cards","Red.Cards","xG","Non.Penalty.xG","xG.Assisted","npxG...xA","Shots.Total","Shots.on.target","Shots.on.target..","Goals.Shot","Goals.Shot.on.target","Average.Shot.Distance","Shots.from.free.kicks","npxG.Sh","Goals...xG","Non.Penalty.Goals...npxG","Passes.Completed","Passes.Attempted","Pass.Completion..","Total.Passing.Distance","Progressive.Passing.Distance","Passes.Completed..Short.","Passes.Attempted..Short.","Pass.Completion....Short.","Passes.Completed..Medium.","Passes.Attempted..Medium.","Pass.Completion....Medium.","Passes.Completed..Long.","Passes.Attempted..Long.","Pass.Completion....Long.","Key.Passes","Passes.into.Final.Third","Passes.into.Penalty.Area","Crosses.into.Penalty.Area","Progressive.Passes","Live.ball.passes","Dead.ball.passes","Passes.from.Free.Kicks","Through.Balls","Passes.Under.Pressure","Switches","Crosses","Corner.Kicks","Inswinging.Corner.Kicks","Outswinging.Corner.Kicks","Straight.Corner.Kicks","Ground.passes","Low.Passes","High.Passes","Passes.Attempted..Left.","Passes.Attempted..Right.","Passes.Attempted..Head.","Throw.Ins.taken","Passes.Attempted..Other.","Passes.Offside","Passes.Out.of.Bounds","Passes.Intercepted","Passes.Blocked","Shot.Creating.Actions","SCA..PassLive.","SCA..PassDead.","SCA..Drib.","SCA..Sh.","SCA..Fld.","SCA..Def.","Goal.Creating.Actions","GCA..PassLive.","GCA..PassDead.","GCA..Drib.","GCA..Sh.","GCA..Fld.","GCA..Def.","Tackles","Tackles.Won","Tackles..Def.3rd.","Tackles..Mid.3rd.","Tackles..Att.3rd.","Dribblers.Tackled","Dribbles.Contested","X..of.dribblers.tackled","Dribbled.Past","Pressures","Successful.Pressures","Successful.Pressure..","Pressures..Def.3rd.","Pressures..Mid.3rd.","Pressures..Att.3rd.","Blocks","Shots.Blocked","Shots.Saved","Interceptions","Tkl.Int","Clearances","Errors","Touches","Touches..Def.Pen.","Touches..Def.3rd.","Touches..Mid.3rd.","Touches..Att.3rd.","Touches..Att.Pen.","Touches..Live.Ball.","Dribbles.Completed","Dribbles.Attempted","Successful.Dribble..","Players.Dribbled.Past","Nutmegs","Carries","Total.Carrying.Distance","Progressive.Carrying.Distance","Progressive.Carries","Carries.into.Final.Third","Carries.into.Penalty.Area","Miscontrols","Dispossessed","Pass.Targets","Passes.Received","Passes.Received..","Progressive.Passes.Rec","Second.Yellow.Card","Fouls.Committed","Fouls.Drawn","Offsides","Penalty.Kicks.Won","Penalty.Kicks.Conceded","Own.Goals","Ball.Recoveries","Aerials.won","Aerials.lost","X..of.Aerials.Won","k_cluster"
"1",2,"89ac64a6","Manuel Akanji","Manchester City","Premier League",187,84,"Center Back","Right","Switzerland",27.25,"Manuel Akanji - 27.25 - Manchester City",0.04,0,0.04,0,0,0.07,0,0.06,0.06,0.02,0.07,0.52,0.07,14.3,0.07,0.5,12.6,0,0.11,-0.02,-0.02,67.51,74.51,90.6,1429.71,455.39,20.96,22.68,92.4,34.73,36.34,95.6,11.41,14.59,78.2,0.19,4.64,0.07,0,3.82,71.81,2.69,1.83,0,7.75,1.87,0.11,0,0,0,0,61.75,4.6,8.16,14.41,55.27,2.69,0.86,0.04,0.07,0.67,1.12,1.12,0.64,0.49,0,0.04,0.07,0,0.04,0,0,0,0,0,0,0,2.13,1.35,1.12,0.86,0.15,1.09,1.76,61.7,0.67,9.92,3.93,39.6,5.39,3.74,0.79,1.61,0.49,0,1.8,3.93,2.58,0,83.45,8.98,38.84,46.55,3.78,1.12,81.02,0.26,0.37,70,0.26,0,57.18,326.06,171.84,4.79,0.6,0,0.3,0.37,62.79,61.6,98.1,0.45,0,1.09,0.94,0.04,0,0,0.04,9.92,2.36,1.38,63,1
"2",3,"eaeca114","Nathan Aké","Manchester City","Premier League",180,74,"Center Back","Left","Netherlands",27.66,"Nathan Aké - 27.66 - Manchester City",0.13,0,0.13,0,0,0.06,0,0.08,0.08,0.04,0.12,0.57,0.13,22.2,0.22,1,7.6,0,0.15,0.04,0.04,83.45,90.5,92.2,1587.23,505.34,31.64,33.34,94.9,41.53,44.18,94,9.26,11.28,82.1,0.25,6.87,0.06,0,3.72,85.84,4.66,1.64,0,6.3,1.13,0.13,0,0,0,0,75.13,7.44,7.94,65.8,15.63,3.66,3.03,0.13,0,0.82,0.82,0.63,0.76,0.69,0,0,0.06,0,0,0.06,0.06,0,0,0,0,0,1.13,0.63,0.5,0.57,0.06,0.44,0.57,77.8,0.13,6.55,2.02,30.8,2.65,3.15,0.76,0.95,0.32,0,1.95,3.09,2.58,0,97.75,6.81,37.63,59.43,8.76,1.2,93.34,0,0.19,0,0,0,72.1,372.48,231.37,6.05,1.13,0.06,0.06,0.13,78.97,76.58,97,0.19,0,0.38,0.82,0.06,0,0,0,8.51,3.21,1.32,70.8,1
"3",4,"1a4ef233","Daniel Amartey","Leicester City","Premier League",182,76,"Center Back","Right","Ghana",27.83,"Daniel Amartey - 27.83 - Leicester City",0.04,0,0.04,0,0,0.14,0,0.01,0.01,0.01,0.02,0.22,0.07,33.3,0.17,0.5,23.5,0,0.05,0.03,0.03,60.92,66.11,92.2,1226.82,368.72,20.1,21.26,94.6,32.03,33.58,95.4,8.36,10.16,82.3,0.18,3.96,0,0,3.06,64.6,1.51,1.04,0,5.73,0.97,0,0,0,0,0,56.67,3.86,5.58,5.73,56.13,2.49,0.43,0.14,0.11,0.47,0.72,1.01,0.68,0.65,0,0,0,0,0.04,0.07,0.07,0,0,0,0,0,1.33,0.58,0.76,0.5,0.07,0.68,1.15,59.4,0.47,7.93,2.63,33.2,4.29,3.24,0.4,1.87,0.86,0.04,1.48,2.81,4.43,0.07,75.88,10.63,37.54,38.55,4.04,0.5,74.47,0.22,0.36,60,0.22,0,52.35,235.81,137.88,3.31,1.04,0,0.14,0.22,56.21,55.12,98.1,0.11,0,0.72,0.36,0.04,0,0,0,9.51,2.31,1.55,59.8,1
"4",5,"e34fc66d","Joachim Andersen","Crystal Palace","Premier League",190,74,"Center Back","Right","Denmark",26.38,"Joachim Andersen - 26.38 - Crystal Palace",0.03,0.09,0.03,0,0,0.12,0,0.04,0.04,0.06,0.1,0.38,0.15,38.5,0.08,0.2,11.3,0.03,0.1,-0.01,-0.01,53.85,66.1,81.5,1443.15,454.12,9.2,10.35,88.9,27.81,30.27,91.8,16.64,24.95,66.7,0.53,4.82,0.35,0.06,2.67,63.16,2.94,2.67,0.09,5.35,3.76,0.41,0,0,0,0,43.91,4.09,18.11,5.88,54.88,3.17,0.18,0.26,0.21,1.85,1.41,0.62,0.88,0.79,0.03,0,0.03,0,0.03,0.15,0.12,0,0,0.03,0,0,1.21,0.71,0.88,0.32,0,0.44,0.91,48.4,0.47,5.38,2.06,38.3,3.41,1.76,0.21,1.32,0.71,0,1.53,2.73,5.35,0,76.39,15.87,48.5,29.13,2.79,1.15,73.51,0.24,0.29,80,0.24,0.03,46.53,259.62,120.3,1.7,0.21,0.06,0.12,0.21,53.67,53.17,99.1,0.09,0,0.76,0.47,0.03,0,0,0.03,9.46,2.79,1.41,66.4,1
"5",14,"94f8d10c","Duje Ćaleta Car","Southampton","Premier League",188,78,"Center Back","Right","Croatia",26.09,"Duje Ćaleta Car - 26.09 - Southampton",0.08,0,0.08,0,0,0.19,0,0.07,0.07,0.03,0.1,0.46,0.19,41.7,0.17,0.4,9.9,0,0.14,0.01,0.01,69.68,76.11,91.6,1537.62,409.68,18.93,19.51,97,37.48,39.17,95.7,12.62,16.28,77.5,0.23,4.19,0.31,0,3.27,73.84,2.27,2,0.12,5.39,3.31,0.04,0,0,0,0,63.33,3.39,9.39,19.78,52.75,2.12,0.27,0.15,0.23,1.35,0.81,0.73,0.5,0.42,0.04,0,0,0.04,0,0.08,0.04,0,0,0,0.04,0,0.89,0.58,0.58,0.31,0,0.35,0.62,56.3,0.27,4.89,1.58,32.3,2.69,2.08,0.12,1.12,0.38,0.04,1.65,2.54,3.12,0.04,83.27,8.08,38.79,47.14,2.58,0.89,81.03,0,0,NA,0,0,57.29,286.85,155.53,4.77,0.5,0,0.08,0,66.41,65.57,98.7,0.08,0,0.69,0.27,0.04,0.04,0,0.04,7.66,1.73,0.96,64.3,1
"6",15,"b4a014b1","Diego Carlos","Aston Villa","Premier League",185,78,"Center Back","Right","Brazil",29.59,"Diego Carlos - 29.59 - Aston Villa",0.09,0,0.09,0,0,0.09,0,0.06,0.06,0.01,0.07,0.87,0.24,27.6,0.1,0.38,13.7,0,0.07,0.03,0.03,58.45,66.22,88.3,1401.82,407.62,13.62,14.31,95.2,31.22,32.84,95.1,13.32,18.38,72.4,0.09,2.58,0.18,0,2.58,64.66,1.56,1.41,0.03,5.82,4.08,0.09,0,0,0,0,50.95,3.36,11.91,8.97,52.96,2.61,0.15,0.21,0.27,0.9,0.81,0.6,0.36,0.24,0,0,0.09,0,0.03,0,0,0,0,0,0,0,1.38,0.96,0.87,0.45,0.06,0.48,0.81,59.3,0.33,5.88,2.31,39.3,3.57,1.83,0.48,1.74,1.14,0,1.53,2.91,3.9,0.12,75.3,13.8,43.94,31.97,2.37,1.17,73.96,0.09,0.09,100,0.09,0.03,52.63,215.24,93.99,1.35,0.06,0,0.24,0.09,56.53,55.66,98.5,0.18,0,0.93,0.54,0.03,0,0.03,0,8.67,2.64,1.41,65.2,1
"7",16,"5515376c","Trevoh Chalobah","Chelsea","Premier League",190,74,"Center Back","Right","England",23.29,"Trevoh Chalobah - 23.29 - Chelsea",0.1,0.05,0.1,0,0,0.16,0,0.06,0.06,0.02,0.07,0.67,0.36,53.8,0.15,0.29,16.8,0,0.08,0.05,0.05,66.46,72.22,92,1235.79,318.37,24.99,26.39,94.7,35.2,36.96,95.2,6.01,8.14,73.9,0.31,4.56,0.31,0,2.59,69.68,2.54,1.76,0.05,5.91,0.52,0.1,0,0,0,0,61.38,4.67,6.17,3.37,63.15,3.21,0.78,0.31,0.05,0.47,0.83,0.62,0.47,0.47,0,0,0,0,0,0.05,0.05,0,0,0,0,0,1.61,0.93,0.73,0.73,0.16,0.78,1.3,60,0.52,8.35,3.21,38.5,3.11,4.35,0.88,0.93,0.31,0,2.18,3.78,3.99,0.05,82.85,4.56,29.24,49.56,8.24,0.73,80.51,0.36,0.62,58.3,0.36,0,58.95,211.78,98.71,3.32,1.97,0,0.1,0.41,61.33,60.14,98.1,0.1,0,1.19,0.78,0,0,0.05,0,9.9,2.28,1.56,59.5,1
"8",24,"31c69ef1","Rúben Dias","Manchester City","Premier League",186,82,"Center Back","Right","Portugal",25.43,"Rúben Dias - 25.43 - Manchester City",0.09,0.09,0.09,0,0,0.11,0,0.1,0.1,0.05,0.15,0.77,0.17,22.2,0.11,0.5,11.5,0,0.13,-0.02,-0.02,80.83,86.26,93.7,1675.25,443,24.06,25.32,95,44.44,46.21,96.2,11.86,13.78,86.1,0.26,6.32,0.06,0,3.29,84.31,1.94,1.29,0.06,6.06,1.43,0.06,0,0,0,0,74.54,4.29,7.43,13.86,67.22,2.69,0.57,0.2,0.06,0.34,0.74,0.74,0.89,0.71,0,0.06,0.11,0,0,0.17,0.11,0,0,0.06,0,0,1,0.69,0.31,0.63,0.06,0.2,0.49,41.2,0.29,5.63,2.32,41.1,1.71,3.03,0.89,1.09,0.34,0,1.2,2.2,3.09,0,93.63,6.8,33.84,62.99,4.37,1.17,91.83,0.2,0.29,70,0.2,0.03,69.42,401.01,236.28,7.8,1.03,0.03,0.14,0.06,76.34,75.25,98.6,0.17,0,1.03,0.4,0.06,0,0.03,0,8.83,2.29,1.29,64,1
"9",25,"ac861941","Eric Dier","Tottenham","Premier League",188,87,"Center Back","Right","England",28.75,"Eric Dier - 28.75 - Tottenham",0.05,0,0.05,0,0,0.1,0,0.03,0.03,0.03,0.06,0.43,0.12,27.8,0.11,0.4,13.4,0.12,0.08,0.01,0.01,61.69,69.16,89.2,1399.31,447.72,15.33,16.38,93.6,34.1,35.95,94.9,11.97,16.02,74.7,0.19,2.66,0.22,0.02,2.66,67.61,1.56,1.27,0.07,4.79,2.13,0.1,0,0,0,0,55.08,4.19,9.89,8.74,55.37,2.97,0.17,0.31,0.24,0.72,0.96,0.48,0.79,0.65,0.02,0,0.1,0,0.02,0.1,0.05,0,0,0.05,0,0,0.93,0.53,0.41,0.43,0.1,0.22,0.57,37.5,0.36,5.65,2.13,37.7,2.73,2.68,0.24,1.37,0.89,0,1.2,2.13,4.38,0.05,77.67,13.08,44.81,35.97,1.6,0.55,75.99,0,0.02,0,0.02,0,51.11,284.01,156.12,3.09,0.36,0.02,0.19,0.1,59.73,58.99,98.8,0.1,0,0.72,0.36,0,0,0,0,7.98,2.75,1.2,69.7,1
"10",27,"67ac5bb8","Gabriel Dos Santos","Arsenal","Premier League",190,78,"Center Back","Left","Brazil",24.84,"Gabriel Dos Santos - 24.84 - Arsenal",0.15,0,0.15,0,0,0.22,0.02,0.1,0.1,0.04,0.14,0.85,0.37,42.9,0.17,0.4,12,0,0.11,0.05,0.05,54.2,60.29,89.9,1126.5,300.71,15.67,16.6,94.4,30.56,32.05,95.4,7.41,10.55,70.2,0.2,3.56,0.05,0,2.75,58.22,2.07,1.44,0.02,5.19,1.34,0.1,0,0,0,0,49.62,4.36,6.31,52.18,4.39,2.12,0.2,0.32,0.17,0.73,0.66,0.78,0.61,0.56,0,0,0.05,0,0,0.05,0.05,0,0,0,0,0,1.66,1.05,1.1,0.41,0.15,0.58,0.97,60,0.39,6.12,2.36,38.6,3.41,2.22,0.49,1.51,0.73,0,1.19,2.85,3.68,0.07,69.58,10.33,34.48,36.97,3.49,1.15,67.73,0.05,0.05,100,0.05,0,47.52,291.62,166.35,4.65,0.71,0,0.29,0.12,51.54,50.52,98,0.27,0.02,0.63,1.36,0.02,0,0.02,0,8.12,2.29,1.19,65.7,1
