"","X","player_id","name","club","league","height_cm","weight_kg","position","foot","country","age","PD_Info","Goals","Assists","Non.Penalty.Goals","Penalty.Kicks.Made","Penalty.Kicks.Attempted","Yellow.Cards","Red.Cards","xG","Non.Penalty.xG","xG.Assisted","npxG...xA","Shots.Total","Shots.on.target","Shots.on.target..","Goals.Shot","Goals.Shot.on.target","Average.Shot.Distance","Shots.from.free.kicks","npxG.Sh","Goals...xG","Non.Penalty.Goals...npxG","Passes.Completed","Passes.Attempted","Pass.Completion..","Total.Passing.Distance","Progressive.Passing.Distance","Passes.Completed..Short.","Passes.Attempted..Short.","Pass.Completion....Short.","Passes.Completed..Medium.","Passes.Attempted..Medium.","Pass.Completion....Medium.","Passes.Completed..Long.","Passes.Attempted..Long.","Pass.Completion....Long.","Key.Passes","Passes.into.Final.Third","Passes.into.Penalty.Area","Crosses.into.Penalty.Area","Progressive.Passes","Live.ball.passes","Dead.ball.passes","Passes.from.Free.Kicks","Through.Balls","Passes.Under.Pressure","Switches","Crosses","Corner.Kicks","Inswinging.Corner.Kicks","Outswinging.Corner.Kicks","Straight.Corner.Kicks","Ground.passes","Low.Passes","High.Passes","Passes.Attempted..Left.","Passes.Attempted..Right.","Passes.Attempted..Head.","Throw.Ins.taken","Passes.Attempted..Other.","Passes.Offside","Passes.Out.of.Bounds","Passes.Intercepted","Passes.Blocked","Shot.Creating.Actions","SCA..PassLive.","SCA..PassDead.","SCA..Drib.","SCA..Sh.","SCA..Fld.","SCA..Def.","Goal.Creating.Actions","GCA..PassLive.","GCA..PassDead.","GCA..Drib.","GCA..Sh.","GCA..Fld.","GCA..Def.","Tackles","Tackles.Won","Tackles..Def.3rd.","Tackles..Mid.3rd.","Tackles..Att.3rd.","Dribblers.Tackled","Dribbles.Contested","X..of.dribblers.tackled","Dribbled.Past","Pressures","Successful.Pressures","Successful.Pressure..","Pressures..Def.3rd.","Pressures..Mid.3rd.","Pressures..Att.3rd.","Blocks","Shots.Blocked","Shots.Saved","Interceptions","Tkl.Int","Clearances","Errors","Touches","Touches..Def.Pen.","Touches..Def.3rd.","Touches..Mid.3rd.","Touches..Att.3rd.","Touches..Att.Pen.","Touches..Live.Ball.","Dribbles.Completed","Dribbles.Attempted","Successful.Dribble..","Players.Dribbled.Past","Nutmegs","Carries","Total.Carrying.Distance","Progressive.Carrying.Distance","Progressive.Carries","Carries.into.Final.Third","Carries.into.Penalty.Area","Miscontrols","Dispossessed","Pass.Targets","Passes.Received","Passes.Received..","Progressive.Passes.Rec","Second.Yellow.Card","Fouls.Committed","Fouls.Drawn","Offsides","Penalty.Kicks.Won","Penalty.Kicks.Conceded","Own.Goals","Ball.Recoveries","Aerials.won","Aerials.lost","X..of.Aerials.Won","k_cluster"
"1",2,"9fec8860","Ludwig Augustinsson","Aston Villa","Premier League",181,74,"Fullback","Left","Sweden",28.49,"Ludwig Augustinsson - 28.49 - Aston Villa",0,0.09,0,0,0,0.47,0,0.05,0.05,0.09,0.14,0.47,0.19,40,0,0,17,0,0.09,-0.05,-0.05,49.68,63.69,78,845.87,266.21,24.04,26.12,92,20.16,23.75,84.9,4.73,11.36,41.7,1.32,2.27,0.85,0.47,1.99,51.39,12.3,1.23,0,5.3,2.56,2.84,1.99,0,1.7,0,37.57,11.26,14.86,45.24,5.77,1.61,9.09,0.57,0.28,1.32,1.32,1.61,1.8,1.23,0.47,0,0,0,0.09,0.09,0,0.09,0,0,0,0,2.08,1.23,1.04,0.66,0.38,0.66,1.61,41.2,0.95,13.44,4.73,35.2,6.25,4.45,2.74,1.89,0.28,0,1.32,3.41,2.93,0,73.34,2.93,24.89,30.28,21.86,1.61,61.61,0.19,0.28,66.7,0.19,0,41.74,187.85,92.08,3.5,1.23,0.28,0.95,1.04,48.93,45.14,92.3,2.08,0,1.89,1.51,0,0,0,0,7.67,2.65,1.42,65.1,1
"2",3,"5c2b4f07","Serge Aurier","Nott'ham Forest","Premier League",176,76,"Fullback","Right","C&#244;te d'Ivoire",29.82,"Serge Aurier - 29.82 - Nott'ham Forest",0,0.14,0,0,0,0.34,0,0.05,0.05,0.13,0.19,0.82,0.14,16.7,0,0,16,0,0.06,-0.05,-0.05,53.16,63.32,84,964.89,343.26,21.13,23.73,89,26.14,30.32,86.2,5.08,7.13,71.2,0.69,2.95,1.17,0.55,3.77,53.64,9.67,0.89,0,7,1.37,1.65,0.07,0,0,0,44.59,10.02,8.71,5.28,44.79,3.16,8.71,0.14,0.14,0.75,1.51,1.51,1.17,1.1,0.07,0,0,0,0,0.14,0.14,0,0,0,0,0,1.92,1.3,1.23,0.55,0.14,0.69,1.3,52.6,0.62,11.8,3.77,32,5.56,4.12,2.13,2.2,0.69,0.07,2.2,4.12,2.06,0,75.53,3.98,26.34,34.98,18.38,1.65,66.06,0.75,1.51,50,0.89,0.07,46.44,182.61,100.7,4.25,1.44,0.21,0.96,0.96,49.46,46.17,93.3,2.33,0,1.37,0.69,0.07,0,0.07,0,9.54,2.2,1.17,65.3,1
"3",8,"197640fd","Timothy Castagne","Leicester City","Premier League",180,79,"Fullback","Right","Belgium",26.88,"Timothy Castagne - 26.88 - Leicester City",0.07,0.03,0.07,0,0,0.03,0,0.05,0.05,0.07,0.12,0.4,0.23,58.3,0.17,0.29,12,0,0.12,0.02,0.02,47.75,57.34,83.3,779.03,270.36,25.81,28.65,90.1,17.87,21.11,84.6,3.47,5.69,61,0.69,2.75,0.76,0.36,3.11,48.74,8.6,0.4,0.03,6.85,0.6,1.89,0.07,0.03,0.03,0,36.93,11.18,9.23,5.72,39.51,2.94,8.14,0.17,0.07,0.73,1.62,1.72,1.13,1.03,0.1,0,0,0,0,0.03,0.03,0,0,0,0,0,2.35,1.09,1.16,0.96,0.23,0.69,1.49,46.7,0.79,12.44,4.33,34.8,5.29,5.1,2.05,1.99,0.26,0,1.49,3.84,2.55,0.07,68.39,3.9,21.74,31.53,18.66,1.46,59.86,0.36,0.69,52.4,0.4,0,39.87,158,85.27,4.07,1.22,0.1,1.29,0.66,47.15,42.78,90.7,2.98,0,0.79,0.6,0.1,0,0,0,7.35,1.82,1.69,51.9,1
"4",9,"e28868f3","Jonny Castro","Wolves","Premier League",175,69,"Fullback","Right","Spain",28.62,"Jonny Castro - 28.62 - Wolves",0.1,0,0.1,0,0,0.1,0,0.05,0.05,0.06,0.1,0.86,0.29,33.3,0.11,0.33,20.1,0,0.05,0.05,0.05,48.09,56.84,84.6,829.84,256.21,22.88,25.02,91.4,19.41,22.5,86.3,4.8,6.52,73.7,0.52,2.52,0.67,0.24,3.14,47.95,8.9,0.76,0.05,8.94,0.86,0.9,0,0,0,0,39.29,10.99,6.56,10.08,36.34,1.52,8.13,0.05,0.05,0.43,2.19,1.86,1.38,1.14,0,0.05,0,0.1,0.1,0,0,0,0,0,0,0,2.24,1.33,1.33,0.86,0.05,0.76,1.81,42.1,1.05,14.41,4.38,30.4,7.09,5.47,1.86,2.14,0.29,0,1.24,3.47,1.19,0.05,69.02,2.95,22.21,32.11,18.98,1.62,60.46,1.09,1.71,63.9,1.09,0.05,44.57,210.3,129.15,5.47,1.24,0.43,1.28,1.71,46.86,44.33,94.6,2.09,0,0.86,1.57,0.05,0,0,0,7.94,1.09,1.43,43.4,1
"5",14,"4f974391","Aaron Cresswell","West Ham","Premier League",170,68,"Fullback","Left","England",32.85,"Aaron Cresswell - 32.85 - West Ham",0.03,0.13,0.03,0,0,0.16,0.05,0.03,0.03,0.15,0.18,0.45,0.03,5.9,0.06,1,19.5,0.19,0.07,-0.01,-0.01,52.2,65.29,79.9,932.94,401.75,25.05,27.17,92.2,21.14,24.55,86.1,5.63,11.75,48,1.46,3.89,0.82,0.32,4.66,54.37,10.93,1.61,0,6.03,1.59,2.2,1.77,0.4,1.32,0,40.42,11.03,13.84,51.85,3.47,1.61,7.54,0.21,0.26,0.82,1.69,1.06,1.93,1.08,0.85,0,0,0,0,0.19,0.05,0.13,0,0,0,0,0.82,0.53,0.53,0.24,0.05,0.42,1.03,41,0.61,6.61,2.2,33.2,3.1,2.54,0.98,1.56,0.5,0,1.64,2.46,2.57,0.03,73.23,4.6,24.05,32.72,20,1.01,62.25,0.13,0.45,29.4,0.16,0.13,44.97,183.73,90.9,3.55,1.27,0.24,0.34,0.34,48.41,46.48,96,1.16,0,0.63,0.4,0.08,0,0.03,0,7.78,1.06,0.95,52.6,1
"6",16,"d9565625","Diogo Dalot","Manchester Utd","Premier League",184,76,"Fullback","Right","Portugal",23.58,"Diogo Dalot - 23.58 - Manchester Utd",0,0.03,0,0,0,0.24,0,0.04,0.04,0.09,0.13,0.77,0.24,30.8,0,0,20.8,0,0.06,-0.04,-0.04,49.11,60.75,80.8,972.46,331.59,19.21,21.68,88.6,22.22,25.82,86,7.39,11.76,62.8,1.34,4.08,1.55,0.51,4.65,51.31,9.44,0.69,0.12,6.37,2.26,1.91,0.06,0,0.06,0,36.72,10.48,13.55,5.54,43.51,1.88,8.7,0.18,0.21,0.8,1.97,1.25,2.38,2.11,0.03,0.12,0.06,0.06,0,0.24,0.21,0,0,0,0.03,0,2.44,1.31,1.52,0.66,0.27,1.07,1.91,56.3,0.83,10.22,3.07,30,4.97,3.75,1.49,1.79,0.54,0.09,1.82,4.26,2.5,0.03,70.94,4.47,22.66,33.65,18.64,1.7,61.68,0.8,1.25,64.3,0.86,0.06,44.29,209.39,116.06,4.62,1.16,0.54,0.86,0.63,46.01,42.83,93.1,2.26,0,1.31,0.36,0.03,0.03,0,0,9.14,1.64,0.95,63.2,1
"7",22,"24f59bb2","Junior Firpo","Leeds United","Premier League",184,78,"Fullback","Left","Spain",26.16,"Junior Firpo - 26.16 - Leeds United",0,0.14,0,0,0,0.7,0,0.06,0.06,0.15,0.2,0.63,0.07,11.1,0,0,12,0,0.08,-0.06,-0.06,38.39,47.04,81.6,655.73,247.71,18.28,20.39,89.7,16.95,20.11,84.3,2.74,5.41,50.6,1.34,3.23,0.98,0.35,3.8,39.02,8.02,0.63,0,6.89,0.7,1.27,0,0,0,0,28.34,11.74,6.96,30.66,5.41,1.9,7.38,0.42,0.21,0.7,1.62,1.62,2.04,1.9,0.07,0,0,0,0.07,0.21,0.14,0,0,0,0,0.07,4.08,2.18,2.11,1.69,0.28,1.83,4.01,45.6,2.18,19.27,5.63,29.2,10.13,7.17,1.97,2.11,0.49,0.07,1.55,5.63,2.74,0,59.27,4.22,19.97,29.6,13.57,1.9,51.47,0.42,0.98,42.9,0.42,0,33.4,170.37,114.89,5.27,1.41,0.07,0.7,0.77,36.56,32.77,89.6,2.32,0,2.53,1.05,0.07,0,0,0,7.52,2.04,1.13,64.4,1
"8",28,"9319781b","Ben Johnson","West Ham","Premier League",170,68,"Fullback","Right","England",22.73,"Ben Johnson - 22.73 - West Ham",0.04,0,0.04,0,0,0.04,0,0,0,0.05,0.05,0.2,0.04,20,0.2,1,23.6,0,0.02,0.04,0.04,35.33,48.8,72.4,682.87,272.94,15.39,17.19,89.5,14.53,18.8,77.3,4.78,10.1,47.3,0.59,2.7,1.17,0.94,3.09,40.22,8.58,0.55,0.04,5.29,1.76,2.39,0.04,0,0,0,24.48,10.26,14.06,7.13,30.98,1.96,7.95,0.16,0.12,1.49,1.53,2.15,1.06,0.94,0.08,0,0,0.04,0,0.08,0.08,0,0,0,0,0,2.04,1.14,1.17,0.71,0.16,1.14,1.88,60.4,0.74,10.1,3.45,34.1,5.25,3.33,1.53,2.9,0.74,0.04,1.41,3.45,3.25,0,59.84,5.95,22.64,26.83,13.75,0.43,51.46,0.59,0.98,60,0.71,0.08,32.82,153.21,60.39,2.15,1.14,0.04,0.59,0.86,35.68,33.37,93.5,1.1,0,0.51,0.39,0,0,0,0,7.32,1.14,1.06,51.8,1
"9",29,"fb614c44","James Justin","Leicester City","Premier League",183,69,"Fullback","Right","England",24.65,"James Justin - 24.65 - Leicester City",0,0,0,0,0,0,0,0.04,0.04,0.06,0.1,0.43,0.05,11.1,0,0,16.3,0,0.09,-0.04,-0.04,47.73,59.1,80.8,805.48,248.03,23.39,25.67,91.1,19.4,22.77,85.2,4.04,7.94,50.9,0.71,2.95,0.86,0.38,3.14,49.92,9.18,0.9,0,7.13,0.95,1.28,0,0,0,0,37.27,11.84,9.98,11.08,35.61,2.9,8.27,0.05,0.14,1.05,1.76,2.61,1.62,1.33,0.05,0.1,0,0.1,0.05,0.14,0.05,0,0.05,0,0.05,0,2.19,1.33,1,0.9,0.29,0.57,1.28,44.4,0.71,15.07,4.09,27.1,6.94,5.9,2.23,3.09,0.48,0,1.95,4.14,3.33,0,72.6,3.61,24.01,34.18,17.97,1.05,63.95,0.52,1.24,42.3,0.57,0.05,41.51,150.81,82.73,3.38,1.05,0.33,0.57,1.09,47.26,43.36,91.8,2,0,0.67,1.71,0.14,0.05,0,0,8.65,2.23,1.9,54,1
"10",34,"6b6c793c","Tyrell Malacia","Manchester Utd","Premier League",175,68,"Fullback","Left","Netherlands",23.17,"Tyrell Malacia - 23.17 - Manchester Utd",0,0,0,0,0,0.25,0,0.01,0.01,0.04,0.05,0.37,0,0,0,NA,22.7,0,0.03,-0.01,-0.01,51.13,58.56,87.3,786.85,204.51,27.85,29.59,94.1,18.2,19.81,91.9,3.34,5.82,57.4,0.74,2.6,0.62,0.12,2.72,49.52,9.04,0.74,0,6.56,0.87,1.11,0.25,0.12,0,0.12,42.46,11.14,4.95,42.09,5.82,1.36,8.05,0.74,0.12,0.87,0.5,1.36,1.36,1.24,0,0.12,0,0,0,0,0,0,0,0,0,0,2.85,0.99,1.73,0.74,0.37,0.74,1.98,37.5,1.24,11.39,2.97,26.1,6.31,4.09,0.99,1.86,0.5,0,2.1,4.95,2.23,0.12,69.7,3.59,19.68,36.4,19.19,1.36,61.16,0.87,1.11,77.8,0.87,0,43.08,229.52,122.31,4.46,2.1,0.25,0.37,0.87,45.31,42.59,94,1.24,0,1.98,1.11,0,0,0,0,8.42,1.24,1.11,52.6,1
