"","X","player_id","name","club","league","height_cm","weight_kg","position","foot","country","age","PD_Info","Goals","Assists","Non.Penalty.Goals","Penalty.Kicks.Made","Penalty.Kicks.Attempted","Yellow.Cards","Red.Cards","xG","Non.Penalty.xG","xG.Assisted","npxG...xA","Shots.Total","Shots.on.target","Shots.on.target..","Goals.Shot","Goals.Shot.on.target","Average.Shot.Distance","Shots.from.free.kicks","npxG.Sh","Goals...xG","Non.Penalty.Goals...npxG","Passes.Completed","Passes.Attempted","Pass.Completion..","Total.Passing.Distance","Progressive.Passing.Distance","Passes.Completed..Short.","Passes.Attempted..Short.","Pass.Completion....Short.","Passes.Completed..Medium.","Passes.Attempted..Medium.","Pass.Completion....Medium.","Passes.Completed..Long.","Passes.Attempted..Long.","Pass.Completion....Long.","Key.Passes","Passes.into.Final.Third","Passes.into.Penalty.Area","Crosses.into.Penalty.Area","Progressive.Passes","Live.ball.passes","Dead.ball.passes","Passes.from.Free.Kicks","Through.Balls","Passes.Under.Pressure","Switches","Crosses","Corner.Kicks","Inswinging.Corner.Kicks","Outswinging.Corner.Kicks","Straight.Corner.Kicks","Ground.passes","Low.Passes","High.Passes","Passes.Attempted..Left.","Passes.Attempted..Right.","Passes.Attempted..Head.","Throw.Ins.taken","Passes.Attempted..Other.","Passes.Offside","Passes.Out.of.Bounds","Passes.Intercepted","Passes.Blocked","Shot.Creating.Actions","SCA..PassLive.","SCA..PassDead.","SCA..Drib.","SCA..Sh.","SCA..Fld.","SCA..Def.","Goal.Creating.Actions","GCA..PassLive.","GCA..PassDead.","GCA..Drib.","GCA..Sh.","GCA..Fld.","GCA..Def.","Tackles","Tackles.Won","Tackles..Def.3rd.","Tackles..Mid.3rd.","Tackles..Att.3rd.","Dribblers.Tackled","Dribbles.Contested","X..of.dribblers.tackled","Dribbled.Past","Pressures","Successful.Pressures","Successful.Pressure..","Pressures..Def.3rd.","Pressures..Mid.3rd.","Pressures..Att.3rd.","Blocks","Shots.Blocked","Shots.Saved","Interceptions","Tkl.Int","Clearances","Errors","Touches","Touches..Def.Pen.","Touches..Def.3rd.","Touches..Mid.3rd.","Touches..Att.3rd.","Touches..Att.Pen.","Touches..Live.Ball.","Dribbles.Completed","Dribbles.Attempted","Successful.Dribble..","Players.Dribbled.Past","Nutmegs","Carries","Total.Carrying.Distance","Progressive.Carrying.Distance","Progressive.Carries","Carries.into.Final.Third","Carries.into.Penalty.Area","Miscontrols","Dispossessed","Pass.Targets","Passes.Received","Passes.Received..","Progressive.Passes.Rec","Second.Yellow.Card","Fouls.Committed","Fouls.Drawn","Offsides","Penalty.Kicks.Won","Penalty.Kicks.Conceded","Own.Goals","Ball.Recoveries","Aerials.won","Aerials.lost","X..of.Aerials.Won","k_cluster"
"1",3,"50dc94ce","Donny van de Beek","Manchester Utd","Premier League",181,76,"Midfielder","Right","Netherlands",25.5,"Donny van de Beek - 25.5 - Manchester Utd",0.25,0,0.25,0,0,0.25,0,0.21,0.21,0.06,0.28,0.98,0.37,37.5,0.25,0.67,15.5,0,0.22,0.04,0.04,39.41,46.78,84.3,613.92,184.91,20.75,23.94,86.7,14.98,16.58,90.4,2.21,4.05,54.5,0.61,2.7,0.74,0,2.7,45.8,0.98,0.12,0.12,6.88,0.37,0.86,0.25,0.12,0,0,37.2,3.81,5.77,5.89,37.57,1.96,0.12,0.12,0.25,0.74,1.6,0.61,1.6,1.47,0,0.12,0,0,0,0,0,0,0,0,0,0,3.19,1.84,1.72,1.35,0.12,0.98,2.95,33.3,1.96,19.28,5.28,27.4,5.53,9.45,4.3,1.11,0.49,0,1.72,4.91,1.11,0,58.32,2.09,13.87,31.92,14.61,1.6,57.46,0.98,1.84,53.3,1.11,0.12,34.38,121.43,50.46,2.21,0.37,0,0.37,1.72,41.5,37.33,89.9,1.96,0,2.33,0.49,0,0,0,0,11.17,1.35,1.23,52.4,4
"2",6,"16264a81","Moisés Caicedo","Brighton","Premier League",178,74,"Midfielder","Right","Ecuador",20.97,"Moisés Caicedo - 20.97 - Brighton",0.12,0.06,0.12,0,0,0.23,0,0.07,0.07,0.05,0.12,1.05,0.47,44.4,0.11,0.25,20.2,0,0.07,0.05,0.05,40.6,47.59,85.3,665.42,161.77,21.15,23.83,88.8,13.75,16.31,84.3,4.54,5.53,82.1,0.93,3.61,0.76,0.12,3.79,47.36,0.23,0.23,0,9.2,0.41,0.35,0,0,0,0,36.29,5.24,6.06,5.01,38.97,2.16,0,0.17,0.06,0.17,1.75,1.11,1.69,1.51,0,0.06,0.12,0,0,0.17,0.17,0,0,0,0,0,2.85,1.98,1.05,1.17,0.64,0.76,1.51,50,0.76,17.42,5.42,31.1,4.72,9.61,3.09,1.51,0.41,0,1.69,4.54,1.34,0,57.96,2.56,13.57,31.57,15.9,1.75,57.73,0.7,1.11,63.2,0.76,0,39.38,157.86,85.69,3.67,1.17,0.41,0.87,0.7,42.17,38.62,91.6,1.34,0,2.04,1.86,0.06,0,0,0,10.6,1.57,0.76,67.5,4
"3",22,"9f1938ab","Adam Forshaw","Leeds United","Premier League",185,71,"Midfielder","Right","",31.03,"Adam Forshaw - 31.03 - Leeds United",0,0.06,0,0,0,0.29,0,0.02,0.02,0.08,0.1,0.81,0.23,28.6,0,0,25.5,0.06,0.03,-0.02,-0.02,39.52,47.06,84,736.98,191.88,18.26,20.05,91,14.43,16.69,86.5,5.68,8.06,70.5,0.81,3.48,0.46,0,3.65,45.43,1.62,1.33,0.06,7.07,2.14,0.35,0.06,0,0.06,0,34.48,4.93,7.65,6.26,38.36,1.51,0.17,0.12,0.35,0.7,1.39,1.22,1.68,1.56,0.06,0,0.06,0,0,0.06,0.06,0,0,0,0,0,2.9,1.62,1.16,1.62,0.12,1.16,2.9,40,1.74,23.59,7.19,30.5,7.42,12.34,3.82,1.28,0.06,0,1.74,4.64,1.16,0.06,56.45,1.45,16.34,33.15,10.84,0.52,55,0.52,0.93,56.3,0.52,0,35.58,179.07,82,2.72,1.1,0.12,0.58,0.93,41.09,35.99,87.6,1.39,0,2.2,1.1,0.12,0,0,0,11.13,0.81,0.87,48.3,4
"4",33,"a0666d3e","Will Hughes","Crystal Palace","Premier League",185,73,"Midfielder","Left","England",27.5,"Will Hughes - 27.5 - Crystal Palace",0,0.08,0,0,0,0.48,0,0.04,0.04,0.05,0.09,0.65,0.16,25,0,0,19.7,0,0.06,-0.04,-0.04,36.37,44.52,81.7,663.15,146.21,15.97,18.15,88,15.56,17.26,90.2,4.11,7.18,57.3,0.65,2.5,0.56,0.24,2.1,41.21,3.31,1.21,0.08,6.94,1.53,0.89,1.85,1.45,0.32,0,30.32,5.56,8.63,34.27,6.85,1.85,0.16,0.08,0,0.24,0.65,1.45,1.69,1.05,0.24,0,0,0.16,0.24,0.24,0.08,0.08,0,0,0.08,0,2.58,1.37,0.89,1.45,0.24,0.65,1.69,38.1,1.05,18.87,4.84,25.6,6.77,10.32,1.77,2.1,0.65,0,1.85,4.44,1.13,0,55.32,2.66,14.68,30.65,12.9,0.89,52.18,0.48,1.05,46.2,0.56,0,32.58,142.66,66.77,2.9,0.97,0.08,0.65,0.97,34.92,32.5,93.1,1.05,0,2.1,1.69,0,0.08,0.08,0,10.16,1.53,1.69,47.5,4
"5",43,"8d3c902d","Cheikhou Kouyaté","Nott'ham Forest","Premier League",193,79,"Midfielder","Right","Senegal",32.83,"Cheikhou Kouyaté - 32.83 - Nott'ham Forest",0.05,0.05,0.05,0,0,0.23,0,0.03,0.03,0.04,0.07,0.51,0.19,36.4,0.09,0.25,18,0,0.06,0.01,0.01,28.44,34.48,82.5,488.73,120.73,13.1,15.16,86.4,11.55,13.61,84.9,2.85,4.26,67,0.23,1.73,0.14,0.05,1.87,33.68,0.8,0.7,0,5.61,0.42,0.23,0,0,0,0,24.65,3.65,6.17,2.81,27.36,2.15,0.09,0.33,0,0.42,0.89,1.78,0.8,0.7,0,0.09,0,0,0,0.05,0.05,0,0,0,0,0,2.9,1.59,1.59,1.17,0.14,0.84,1.78,47.4,0.94,18.71,5.66,30.3,8.56,8.89,1.26,2.48,0.7,0,1.92,4.82,2.25,0,46.5,3.09,16.23,26.24,5.75,0.47,45.75,0.56,0.8,70.6,0.56,0,25.4,102.12,42.66,1.17,0.23,0,1.08,0.7,25.63,23.48,91.6,0.37,0,1.68,1.4,0,0,0,0,11.32,2.57,1.17,68.8,4
"6",46,"9b5ce51a","Jefferson Lerma","Bournemouth","Premier League",179,69,"Midfielder","Right","Colombia",27.99,"Jefferson Lerma - 27.99 - Bournemouth",0.18,0,0.18,0,0,0.09,0,0.08,0.08,0,0.09,1,0.27,27.3,0.18,0.67,15.7,0,0.09,0.1,0.1,36.09,42.82,84.3,677.55,202.09,13.36,14.91,89.6,17.55,19.45,90.2,4.55,7.18,63.3,0.09,2.91,0.55,0,2.64,40.73,2.09,1.82,0,4.82,0.64,0.09,0,0,0,0,31.36,3.55,7.91,6.09,32.82,2.09,0.27,0.55,0,0.64,1.64,0.82,0.82,0.64,0.09,0,0.09,0,0,0,0,0,0,0,0,0,1.36,0.73,0.91,0.09,0.36,0.55,0.91,60,0.36,8.18,2.45,30,4.09,3.18,0.91,1,0.18,0,1.09,2.45,3.55,0,53,7.36,20.45,27.27,7.82,1.45,51.09,0.18,0.45,40,0.27,0,29.82,122.09,51.18,1.27,0.82,0,0.64,0.55,34.91,32.73,93.8,1.18,0,1.36,1.27,0.09,0,0.18,0.09,9.73,1.64,1,62.1,4
"7",49,"6f7d826d","Douglas Luiz","Aston Villa","Premier League",178,66,"Midfielder","Right","Brazil",24.44,"Douglas Luiz - 24.44 - Aston Villa",0.1,0.03,0.1,0,0,0.24,0,0.06,0.06,0.08,0.14,0.75,0.34,45.5,0.14,0.3,23.7,0.24,0.09,0.04,0.04,45,54.2,83,870.14,236.56,17.52,19.74,88.8,19.84,22.4,88.6,6.68,10.3,64.9,1.06,3.1,0.75,0.1,3.58,47.59,6.61,4.13,0.07,5.49,1.84,0.92,2.05,1.02,0.55,0.03,38.73,5.56,9.92,5.15,44.93,2.01,0.38,0.51,0.1,0.82,1.3,1.06,2.35,1.5,0.65,0,0.1,0.1,0,0.2,0.07,0.03,0,0.07,0.03,0,2.08,1.36,1.16,0.78,0.14,0.61,2.28,26.9,1.67,17.35,5.22,30.1,7.6,7.88,1.88,1.3,0.24,0,1.91,3.99,0.92,0,63.51,2.93,17.18,37.06,12.51,0.34,57.17,0.55,1.13,48.5,0.61,0.03,38.32,185.05,84.75,3.51,0.72,0.07,0.89,0.89,42.17,39.51,93.7,0.92,0,1.77,1.57,0,0,0,0,10.09,1.4,1.06,56.9,4
"8",53,"d93c2511","Scott McTominay","Manchester Utd","Premier League",192,84,"Midfielder","Right","Scotland",25.87,"Scott McTominay - 25.87 - Manchester Utd",0.06,0.03,0.06,0,0,0.46,0,0.06,0.06,0.05,0.11,0.94,0.27,29,0.06,0.22,18.4,0,0.06,0,0,38.32,45.27,84.7,740.27,180.79,15.63,18.45,84.7,16.17,18.09,89.4,5.74,7.16,80.1,0.49,3.34,0.24,0,3.16,44,1.27,1.18,0,7.4,1.52,0.15,0,0,0,0,35.02,3.82,6.43,2.12,39.08,1.88,0.03,0.24,0.18,0.58,1.3,1.24,1.55,1.21,0,0.09,0.09,0.09,0.06,0.12,0.06,0,0,0.03,0,0.03,2.61,1.49,1.34,1,0.27,1.18,2.25,52.7,1.06,17.9,5.07,28.3,6.43,9.47,2,1.7,0.46,0,1.94,4.55,2.58,0,57.81,3.79,16.36,33.8,11.14,1.09,56.83,1.09,1.49,73.5,1.09,0.06,38.23,208.04,99.07,4.28,1.34,0.12,1.34,1.18,38.57,35.65,92.4,1.18,0,2.55,1.52,0.03,0,0.03,0,11.2,2.76,1.55,64.1,4
"9",55,"2ce2508a","Luka Milivojević","Crystal Palace","Premier League",184,74,"Midfielder","Right","Serbia",31.53,"Luka Milivojević - 31.53 - Crystal Palace",0,0,0,0,0,0.14,0,0.03,0.03,0.08,0.11,0.99,0,0,0,NA,25.2,0.42,0.03,-0.03,-0.03,42.67,52.84,80.7,873.3,217.02,15.26,17.1,89.3,16.95,20.63,82.2,9.04,12.43,72.7,1.13,2.54,0.71,0.28,3.25,47.61,5.23,2.4,0,6.36,2.54,1.84,2.68,0.99,1.13,0,35.32,5.51,12.01,7.49,39,3.81,0.14,0.42,0,0.71,1.7,1.13,1.7,0.42,1.13,0,0,0.14,0,0,0,0,0,0,0,0,2.97,1.7,1.55,1.27,0.14,1.84,2.68,68.4,0.85,15.97,4.95,31,7.21,7.63,1.13,1.27,0.14,0,1.41,4.38,3.11,0,63.16,3.53,20.06,32.21,13.28,0.42,57.93,0,0.14,0,0,0,31.08,114.3,52.7,2.12,0.57,0,0.42,0.57,37.3,36.03,96.6,0.14,0,2.83,1.41,0,0,0.14,0.14,11.44,2.4,1.13,68,4
"10",59,"6b47c5db","Wilfred Ndidi","Leicester City","Premier League",188,78,"Midfielder","Right","Nigeria",25.85,"Wilfred Ndidi - 25.85 - Leicester City",0.05,0,0.05,0,0,0.19,0,0.07,0.07,0,0.07,0.82,0.24,29.4,0.06,0.2,18.9,0,0.08,-0.02,-0.02,45.72,54.33,84.2,791.54,195.34,21.25,23.75,89.5,20.14,22.93,87.8,3.7,5.72,64.7,0,3.27,0.19,0,2.02,52.79,1.54,1.35,0,7.84,0.58,0.05,0,0,0,0,41.54,4.86,7.93,6.73,42.64,3.17,0.19,0.19,0.05,0.87,1.39,1.49,0.67,0.48,0,0,0.1,0.05,0.05,0.1,0.05,0,0,0.05,0,0,3.22,1.92,1.78,1.25,0.19,0.91,1.97,46.3,1.06,20.91,7.36,35.2,7.84,10.91,2.16,1.92,0.43,0,2.64,5.87,3.46,0,68.17,5.91,24.57,37.64,8.61,1.01,66.73,0.43,0.72,60,0.43,0.05,40.72,178.46,73.22,2.31,0.67,0.05,0.96,0.72,42.36,40.53,95.7,0.53,0,2.07,1.15,0.05,0,0.19,0,13.37,2.26,1.78,56,4
