,player_id,name,club,league,height_cm,weight_kg,position,foot,country,age,PD_Info,Goals,Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,Non-Penalty xG,xG Assisted,npxG + xA,Shots Total,Shots on target,Shots on target %,Goals/Shot,Goals/Shot on target,Average Shot Distance,Shots from free kicks,npxG/Sh,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Live-ball passes,Dead-ball passes,Passes from Free Kicks,Through Balls,Passes Under Pressure,Switches,Crosses,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Ground passes,Low Passes,High Passes,Passes Attempted (Left),Passes Attempted (Right),Passes Attempted (Head),Throw-Ins taken,Passes Attempted (Other),Passes Offside,Passes Out of Bounds,Passes Intercepted,Passes Blocked,Shot-Creating Actions,SCA (PassLive),SCA (PassDead),SCA (Drib),SCA (Sh),SCA (Fld),SCA (Def),Goal-Creating Actions,GCA (PassLive),GCA (PassDead),GCA (Drib),GCA (Sh),GCA (Fld),GCA (Def),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Contested,% of dribblers tackled,Dribbled Past,Pressures,Successful Pressures,Successful Pressure %,Pressures (Def 3rd),Pressures (Mid 3rd),Pressures (Att 3rd),Blocks,Shots Blocked,Shots Saved,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Dribbles Completed,Dribbles Attempted,Successful Dribble %,Players Dribbled Past,Nutmegs,Carries,Total Carrying Distance,Progressive Carrying Distance,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Pass Targets,Passes Received,Passes Received %,Progressive Passes Rec,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials won,Aerials lost,% of Aerials Won
0,c81d773d,Tosin Adarabioyo,Fulham,Premier League,196,79,Center Back,Right,England,25.07,Tosin Adarabioyo - 25.07 - Fulham,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.22,0.11,50.0,0.5,1.0,10.9,0.0,0.05,0.1,0.1,38.0,46.44,81.8,863.78,254.89,7.78,9.44,82.4,23.22,25.44,91.3,6.78,10.89,62.2,0.11,2.44,0.11,0.0,2.67,44.89,1.56,1.11,0.0,4.67,1.11,0.0,0.0,0.0,0.0,0.0,32.78,3.56,10.11,3.44,37.44,3.22,0.33,0.0,0.22,1.0,0.78,0.33,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.78,0.89,0.22,0.0,0.22,0.67,33.3,0.44,3.78,1.0,26.5,2.22,1.44,0.11,1.11,0.78,0.0,1.78,2.89,6.11,0.11,56.78,11.33,29.33,28.44,1.33,0.33,55.22,0.22,0.22,100.0,0.22,0.0,30.44,167.0,93.89,2.56,0.33,0.0,0.22,0.11,35.0,34.44,98.4,0.11,0.0,0.67,0.22,0.0,0.0,0.0,0.0,8.44,3.22,0.78,80.6
1,a8c0acb7,Kristoffer Ajer,Brentford,Premier League,196,83,Center Back,Right,Norway,24.5,Kristoffer Ajer - 24.5 - Brentford,0.05,0.15,0.05,0.0,0.0,0.2,0.0,0.04,0.04,0.05,0.1,0.35,0.05,14.3,0.14,1.0,8.4,0.0,0.12,0.01,0.01,31.41,41.29,76.1,595.1,264.86,12.02,14.41,83.4,14.76,17.5,84.3,3.99,7.23,55.2,0.25,2.64,0.4,0.0,3.69,35.15,6.13,0.25,0.0,6.18,0.65,0.55,0.0,0.0,0.0,0.0,23.19,9.12,8.98,1.84,28.92,2.79,5.88,0.05,0.2,0.9,1.5,1.1,1.15,0.85,0.15,0.05,0.0,0.05,0.05,0.3,0.15,0.05,0.05,0.0,0.05,0.0,1.75,1.0,1.0,0.65,0.1,0.85,1.4,60.7,0.55,9.02,3.24,35.9,4.69,2.84,1.5,1.65,0.55,0.0,2.04,3.79,2.99,0.05,51.21,5.48,21.59,24.28,9.07,1.45,45.07,0.5,0.8,62.5,0.5,0.0,28.07,165.89,101.27,3.49,1.2,0.1,0.5,0.6,30.02,27.57,91.9,0.95,0.0,0.8,0.6,0.0,0.0,0.0,0.0,7.98,2.54,1.8,58.6
2,89ac64a6,Manuel Akanji,Manchester City,Premier League,187,84,Center Back,Right,Switzerland,27.25,Manuel Akanji - 27.25 - Manchester City,0.04,0.0,0.04,0.0,0.0,0.07,0.0,0.06,0.06,0.02,0.07,0.52,0.07,14.3,0.07,0.5,12.6,0.0,0.11,-0.02,-0.02,67.51,74.51,90.6,1429.71,455.39,20.96,22.68,92.4,34.73,36.34,95.6,11.41,14.59,78.2,0.19,4.64,0.07,0.0,3.82,71.81,2.69,1.83,0.0,7.75,1.87,0.11,0.0,0.0,0.0,0.0,61.75,4.6,8.16,14.41,55.27,2.69,0.86,0.04,0.07,0.67,1.12,1.12,0.64,0.49,0.0,0.04,0.07,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13,1.35,1.12,0.86,0.15,1.09,1.76,61.7,0.67,9.92,3.93,39.6,5.39,3.74,0.79,1.61,0.49,0.0,1.8,3.93,2.58,0.0,83.45,8.98,38.84,46.55,3.78,1.12,81.02,0.26,0.37,70.0,0.26,0.0,57.18,326.06,171.84,4.79,0.6,0.0,0.3,0.37,62.79,61.6,98.1,0.45,0.0,1.09,0.94,0.04,0.0,0.0,0.04,9.92,2.36,1.38,63.0
3,eaeca114,Nathan Aké,Manchester City,Premier League,180,74,Center Back,Left,Netherlands,27.66,Nathan Aké - 27.66 - Manchester City,0.13,0.0,0.13,0.0,0.0,0.06,0.0,0.08,0.08,0.04,0.12,0.57,0.13,22.2,0.22,1.0,7.6,0.0,0.15,0.04,0.04,83.45,90.5,92.2,1587.23,505.34,31.64,33.34,94.9,41.53,44.18,94.0,9.26,11.28,82.1,0.25,6.87,0.06,0.0,3.72,85.84,4.66,1.64,0.0,6.3,1.13,0.13,0.0,0.0,0.0,0.0,75.13,7.44,7.94,65.8,15.63,3.66,3.03,0.13,0.0,0.82,0.82,0.63,0.76,0.69,0.0,0.0,0.06,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,1.13,0.63,0.5,0.57,0.06,0.44,0.57,77.8,0.13,6.55,2.02,30.8,2.65,3.15,0.76,0.95,0.32,0.0,1.95,3.09,2.58,0.0,97.75,6.81,37.63,59.43,8.76,1.2,93.34,0.0,0.19,0.0,0.0,0.0,72.1,372.48,231.37,6.05,1.13,0.06,0.06,0.13,78.97,76.58,97.0,0.19,0.0,0.38,0.82,0.06,0.0,0.0,0.0,8.51,3.21,1.32,70.8
4,1a4ef233,Daniel Amartey,Leicester City,Premier League,182,76,Center Back,Right,Ghana,27.83,Daniel Amartey - 27.83 - Leicester City,0.04,0.0,0.04,0.0,0.0,0.14,0.0,0.01,0.01,0.01,0.02,0.22,0.07,33.3,0.17,0.5,23.5,0.0,0.05,0.03,0.03,60.92,66.11,92.2,1226.82,368.72,20.1,21.26,94.6,32.03,33.58,95.4,8.36,10.16,82.3,0.18,3.96,0.0,0.0,3.06,64.6,1.51,1.04,0.0,5.73,0.97,0.0,0.0,0.0,0.0,0.0,56.67,3.86,5.58,5.73,56.13,2.49,0.43,0.14,0.11,0.47,0.72,1.01,0.68,0.65,0.0,0.0,0.0,0.0,0.04,0.07,0.07,0.0,0.0,0.0,0.0,0.0,1.33,0.58,0.76,0.5,0.07,0.68,1.15,59.4,0.47,7.93,2.63,33.2,4.29,3.24,0.4,1.87,0.86,0.04,1.48,2.81,4.43,0.07,75.88,10.63,37.54,38.55,4.04,0.5,74.47,0.22,0.36,60.0,0.22,0.0,52.35,235.81,137.88,3.31,1.04,0.0,0.14,0.22,56.21,55.12,98.1,0.11,0.0,0.72,0.36,0.04,0.0,0.0,0.0,9.51,2.31,1.55,59.8
5,e34fc66d,Joachim Andersen,Crystal Palace,Premier League,190,74,Center Back,Right,Denmark,26.38,Joachim Andersen - 26.38 - Crystal Palace,0.03,0.09,0.03,0.0,0.0,0.12,0.0,0.04,0.04,0.06,0.1,0.38,0.15,38.5,0.08,0.2,11.3,0.03,0.1,-0.01,-0.01,53.85,66.1,81.5,1443.15,454.12,9.2,10.35,88.9,27.81,30.27,91.8,16.64,24.95,66.7,0.53,4.82,0.35,0.06,2.67,63.16,2.94,2.67,0.09,5.35,3.76,0.41,0.0,0.0,0.0,0.0,43.91,4.09,18.11,5.88,54.88,3.17,0.18,0.26,0.21,1.85,1.41,0.62,0.88,0.79,0.03,0.0,0.03,0.0,0.03,0.15,0.12,0.0,0.0,0.03,0.0,0.0,1.21,0.71,0.88,0.32,0.0,0.44,0.91,48.4,0.47,5.38,2.06,38.3,3.41,1.76,0.21,1.32,0.71,0.0,1.53,2.73,5.35,0.0,76.39,15.87,48.5,29.13,2.79,1.15,73.51,0.24,0.29,80.0,0.24,0.03,46.53,259.62,120.3,1.7,0.21,0.06,0.12,0.21,53.67,53.17,99.1,0.09,0.0,0.76,0.47,0.03,0.0,0.0,0.03,9.46,2.79,1.41,66.4
6,420d7c7d,Luke Ayling,Leeds United,Premier League,183,72,Center Back,Right,,31.15,Luke Ayling - 31.15 - Leeds United,0.05,0.14,0.05,0.0,0.0,0.19,0.05,0.07,0.07,0.05,0.12,0.77,0.1,12.5,0.06,0.5,11.0,0.0,0.1,-0.02,-0.02,43.1,56.98,75.7,886.7,384.38,16.32,18.67,87.4,19.39,23.28,83.3,6.96,13.34,52.2,0.38,3.31,0.53,0.19,4.27,49.82,7.15,1.15,0.05,7.68,1.54,1.1,0.0,0.0,0.0,0.0,33.26,9.84,13.87,4.94,42.19,2.4,5.95,0.34,0.38,1.2,2.83,0.86,0.91,0.67,0.0,0.0,0.24,0.0,0.0,0.19,0.05,0.0,0.0,0.14,0.0,0.0,3.22,1.97,1.92,1.06,0.24,2.02,4.32,46.7,2.3,16.18,5.66,35.0,8.93,5.76,1.49,1.87,1.01,0.0,2.35,5.57,2.78,0.0,68.93,8.98,35.62,26.69,11.04,1.63,62.11,1.01,1.68,60.0,1.1,0.24,39.7,228.24,130.56,3.46,1.1,0.14,0.86,0.67,42.14,39.6,94.0,1.34,0.0,1.3,0.96,0.1,0.0,0.05,0.0,10.46,1.97,2.16,47.7
7,30db8574,Mads Bech Sørensen,Brentford,Premier League,193,77,Center Back,Left,Denmark,23.78,Mads Bech Sørensen - 23.78 - Brentford,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.01,0.01,0.04,0.05,0.22,0.0,0.0,0.0,,10.5,0.0,0.04,-0.01,-0.01,42.57,54.86,77.6,884.05,338.01,14.34,16.81,85.3,20.59,24.36,84.5,7.22,12.07,59.8,0.75,2.48,0.43,0.32,1.72,46.46,8.41,0.54,0.0,3.99,0.32,1.83,0.0,0.0,0.0,0.0,35.68,4.85,14.34,36.22,6.79,3.02,7.87,0.0,0.11,0.75,1.29,0.43,1.08,0.54,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.65,0.97,0.22,0.0,0.54,0.65,83.3,0.11,7.54,2.91,38.6,4.42,2.48,0.65,1.08,0.65,0.0,0.97,2.16,3.23,0.0,61.65,8.62,32.55,24.9,7.76,0.86,53.25,0.0,0.0,,0.0,0.0,32.55,194.01,120.5,2.16,0.54,0.0,0.11,0.11,36.32,35.35,97.3,0.32,0.0,0.97,0.43,0.0,0.0,0.11,0.0,10.67,1.62,1.19,57.7
8,4115ce4e,Jan Bednarek,Southampton,Premier League,190,77,Center Back,Right,Poland,26.52,Jan Bednarek - 26.52 - Southampton,0.15,0.0,0.15,0.0,0.0,0.33,0.0,0.09,0.09,0.02,0.11,0.74,0.26,35.0,0.2,0.57,7.9,0.0,0.13,0.06,0.06,41.94,50.39,83.2,877.06,261.0,13.6,14.97,90.8,21.27,23.64,90.0,6.52,10.67,61.1,0.22,2.45,0.04,0.04,1.59,47.39,3.0,1.52,0.0,6.37,1.22,0.19,0.0,0.0,0.0,0.0,34.31,4.3,11.78,6.74,36.5,3.59,1.41,0.15,0.0,1.0,0.63,1.22,0.63,0.56,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.7,0.7,0.44,0.0,0.56,1.0,55.6,0.44,7.82,2.56,32.7,4.34,3.3,0.19,2.26,1.04,0.04,3.04,4.19,5.59,0.0,62.21,8.34,29.86,32.42,2.74,1.11,59.43,0.0,0.04,0.0,0.0,0.0,31.68,142.43,68.36,0.96,0.04,0.0,0.0,0.15,34.98,34.09,97.5,0.11,0.0,1.26,0.67,0.04,0.0,0.04,0.04,12.0,3.96,2.26,63.7
9,a39d11bc,Armel Bella Kotchap,Southampton,Premier League,190,87,Center Back,Right,Germany,20.86,Armel Bella Kotchap - 20.86 - Southampton,0.0,0.05,0.0,0.0,0.0,0.23,0.0,0.06,0.06,0.0,0.06,0.86,0.18,21.1,0.0,0.0,15.6,0.0,0.07,-0.06,-0.06,31.76,40.95,77.6,762.84,189.82,6.76,8.65,78.1,16.53,18.42,89.7,8.02,12.75,62.9,0.05,2.03,0.23,0.05,1.49,39.82,1.13,0.77,0.09,5.27,1.53,0.23,0.0,0.0,0.0,0.0,27.03,3.47,10.45,7.97,28.02,2.75,0.36,0.23,0.05,1.35,0.72,1.04,0.63,0.5,0.0,0.05,0.0,0.09,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,2.16,1.31,1.67,0.5,0.0,0.54,0.86,63.2,0.32,11.85,4.23,35.7,6.89,4.46,0.5,1.89,0.86,0.05,3.33,5.5,5.59,0.0,54.59,8.92,32.79,23.42,2.7,1.26,53.78,0.09,0.14,66.7,0.09,0.05,29.1,193.33,85.05,1.76,0.63,0.05,0.45,0.27,29.96,29.1,97.1,0.09,0.0,1.17,1.62,0.09,0.0,0.0,0.09,10.0,3.11,1.13,73.4
