,player_id,name,club,league,height_cm,weight_kg,position,foot,country,age,PD_Info,Goals,Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,Non-Penalty xG,xG Assisted,npxG + xA,Shots Total,Shots on target,Shots on target %,Goals/Shot,Goals/Shot on target,Average Shot Distance,Shots from free kicks,npxG/Sh,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Live-ball passes,Dead-ball passes,Passes from Free Kicks,Through Balls,Passes Under Pressure,Switches,Crosses,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Ground passes,Low Passes,High Passes,Passes Attempted (Left),Passes Attempted (Right),Passes Attempted (Head),Throw-Ins taken,Passes Attempted (Other),Passes Offside,Passes Out of Bounds,Passes Intercepted,Passes Blocked,Shot-Creating Actions,SCA (PassLive),SCA (PassDead),SCA (Drib),SCA (Sh),SCA (Fld),SCA (Def),Goal-Creating Actions,GCA (PassLive),GCA (PassDead),GCA (Drib),GCA (Sh),GCA (Fld),GCA (Def),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Contested,% of dribblers tackled,Dribbled Past,Pressures,Successful Pressures,Successful Pressure %,Pressures (Def 3rd),Pressures (Mid 3rd),Pressures (Att 3rd),Blocks,Shots Blocked,Shots Saved,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Dribbles Completed,Dribbles Attempted,Successful Dribble %,Players Dribbled Past,Nutmegs,Carries,Total Carrying Distance,Progressive Carrying Distance,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Pass Targets,Passes Received,Passes Received %,Progressive Passes Rec,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials won,Aerials lost,% of Aerials Won
0,5bc43860,Brenden Aaronson,Leeds United,Premier League,178,68,Att Mid / Wing,Right,United States,21.99,Brenden Aaronson - 21.99 - Leeds United,0.07,0.21,0.07,0.0,0.0,0.14,0.0,0.15,0.15,0.13,0.27,1.34,0.42,31.6,0.05,0.17,20.0,0.07,0.11,-0.08,-0.08,23.87,31.83,75.0,341.41,96.55,14.37,17.11,84.0,6.34,8.03,78.9,1.9,3.8,50.0,1.76,1.34,0.49,0.14,2.18,28.03,3.8,0.35,0.07,6.55,0.63,1.13,1.27,0.49,0.77,0.0,23.1,4.3,4.44,3.31,26.06,0.85,0.63,0.28,0.0,0.63,1.62,1.27,2.82,1.76,0.42,0.21,0.14,0.14,0.14,0.42,0.28,0.0,0.0,0.07,0.0,0.07,1.48,1.2,0.35,0.7,0.42,0.56,2.61,21.6,2.04,24.23,7.61,31.4,4.01,11.34,8.87,1.41,0.14,0.0,0.42,1.9,0.49,0.0,46.2,0.56,5.63,21.55,22.04,2.82,42.46,1.34,2.68,50.0,1.62,0.49,31.27,143.1,74.01,4.08,1.2,0.56,2.46,3.38,45.28,30.42,67.2,6.34,0.0,0.63,2.25,0.56,0.0,0.0,0.0,6.97,0.85,2.82,23.1
1,f2bf1b0f,Che Adams,Southampton,Premier League,175,76,Forward,Right,Scotland,26.27,Che Adams - 26.27 - Southampton,0.37,0.11,0.37,0.0,0.0,0.0,0.0,0.32,0.32,0.12,0.43,2.23,1.1,49.2,0.16,0.33,12.5,0.0,0.14,0.04,0.04,15.19,21.77,69.8,247.28,48.54,8.18,11.03,74.2,4.57,5.77,79.1,1.64,2.52,65.2,1.17,0.99,0.55,0.07,1.42,20.93,0.84,0.0,0.11,5.66,0.73,0.69,0.0,0.0,0.0,0.0,13.04,4.97,3.76,1.64,15.63,1.42,0.11,0.8,0.07,0.33,1.06,0.8,2.05,1.39,0.04,0.07,0.26,0.29,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.62,0.33,0.15,0.33,0.15,0.11,0.66,16.7,0.55,12.93,3.32,25.7,1.53,5.44,5.95,0.95,0.15,0.0,0.4,1.02,0.88,0.0,34.08,1.31,3.91,14.32,17.39,4.97,33.24,0.84,1.5,56.1,0.95,0.04,20.78,83.75,36.12,1.9,0.66,0.51,2.7,1.79,45.04,24.58,54.6,6.83,0.0,1.31,1.79,0.26,0.0,0.0,0.0,4.68,2.78,5.44,33.8
2,b827d5b3,Marc Albrighton,Leicester City,Premier League,175,67,Att Mid / Wing,Right,England,32.92,Marc Albrighton - 32.92 - Leicester City,0.0,0.18,0.0,0.0,0.0,0.27,0.0,0.05,0.05,0.16,0.21,0.27,0.0,0.0,0.0,,16.5,0.0,0.16,-0.05,-0.05,31.28,48.15,65.0,488.3,215.84,18.51,21.61,85.7,10.03,15.05,66.7,2.1,8.39,25.0,1.0,1.82,1.0,0.46,3.01,39.48,8.66,1.28,0.0,8.3,2.19,2.74,2.28,1.55,0.27,0.0,27.63,9.85,10.67,3.37,37.39,1.64,5.11,0.09,0.46,0.27,2.74,2.1,1.55,1.19,0.18,0.0,0.0,0.18,0.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0,3.19,1.73,1.46,1.09,0.64,1.19,3.92,30.2,2.74,22.16,5.2,23.5,7.93,10.49,3.74,2.55,0.46,0.09,2.19,5.38,1.0,0.0,59.64,3.1,13.95,27.72,21.06,1.0,51.06,1.19,2.74,43.3,1.28,0.27,34.83,141.7,68.3,2.46,1.19,0.0,1.0,0.64,41.4,34.29,82.8,2.01,0.0,0.64,1.46,0.18,0.0,0.0,0.0,6.75,0.55,0.91,37.5
3,cea4ee8f,Dele Alli,Everton,Premier League,188,76,Att Mid / Wing,Right,England,26.52,Dele Alli - 26.52 - Everton,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.08,0.08,0.18,0.27,0.67,0.17,25.0,0.0,0.0,18.0,0.0,0.13,-0.08,-0.08,27.83,37.5,74.2,446.83,113.5,13.33,17.0,78.4,10.5,13.0,80.8,2.33,4.33,53.8,1.5,2.33,0.83,0.17,2.83,35.0,2.5,0.67,0.17,9.5,0.17,0.83,0.17,0.0,0.0,0.0,26.33,6.67,4.5,1.0,32.33,1.5,0.67,0.5,0.5,0.67,2.17,2.17,2.17,2.0,0.17,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,3.0,1.83,1.0,1.33,0.67,0.83,2.5,33.3,1.67,34.5,8.83,25.6,9.0,17.17,8.33,2.5,0.33,0.0,2.67,5.67,1.83,0.0,57.33,3.5,12.5,29.83,19.5,4.0,55.0,1.17,3.0,38.9,1.17,0.33,36.17,160.33,78.67,2.5,1.17,0.17,3.0,3.33,45.5,34.67,76.2,6.17,0.0,2.67,2.0,0.67,0.0,0.0,0.0,9.17,2.33,3.0,43.8
4,862a1c15,Miguel Almirón,Newcastle Utd,Premier League,174,69,Att Mid / Wing,Left,Paraguay,28.68,Miguel Almirón - 28.68 - Newcastle Utd,0.26,0.0,0.26,0.0,0.0,0.04,0.0,0.22,0.22,0.05,0.26,2.19,0.61,28.0,0.12,0.43,17.4,0.0,0.1,0.05,0.05,23.83,29.18,81.7,357.45,90.79,13.21,14.79,89.3,8.12,10.0,81.1,1.58,2.41,65.5,0.7,1.32,0.92,0.13,2.76,28.65,0.53,0.0,0.04,4.39,0.22,1.23,0.18,0.04,0.0,0.0,23.78,2.9,2.5,26.24,1.67,0.61,0.35,0.09,0.18,0.31,0.92,1.01,2.19,1.49,0.04,0.26,0.26,0.09,0.04,0.26,0.09,0.04,0.09,0.0,0.0,0.04,2.5,1.4,1.01,1.01,0.48,0.7,1.89,37.2,1.18,19.83,5.18,26.1,4.17,7.46,8.21,1.1,0.09,0.0,1.23,3.73,0.61,0.0,41.86,1.1,6.14,15.8,22.91,4.43,41.38,1.14,2.15,53.1,1.23,0.13,30.76,183.64,86.09,4.52,1.18,0.88,2.11,1.49,38.31,28.57,74.6,5.66,0.0,0.97,1.1,0.48,0.0,0.0,0.0,6.32,0.22,0.92,19.2
5,ac05f970,Michail Antonio,West Ham,Premier League,180,82,Forward,Right,Jamaica,32.55,Michail Antonio - 32.55 - West Ham,0.21,0.18,0.21,0.0,0.0,0.18,0.0,0.28,0.28,0.16,0.44,2.02,0.67,33.3,0.1,0.31,13.9,0.0,0.14,-0.08,-0.08,12.58,19.91,63.2,205.66,39.51,6.73,9.01,74.7,4.14,6.4,64.8,1.14,2.3,49.4,1.11,0.7,0.98,0.41,1.24,18.8,1.11,0.1,0.16,6.68,0.62,1.71,0.03,0.0,0.0,0.0,10.85,4.82,4.25,2.9,13.18,1.01,0.41,0.28,0.16,0.7,1.09,0.67,2.59,1.73,0.0,0.39,0.18,0.18,0.1,0.39,0.23,0.0,0.05,0.05,0.05,0.0,0.62,0.52,0.23,0.18,0.21,0.1,0.6,17.4,0.49,15.66,4.35,27.8,1.04,5.67,8.96,0.78,0.1,0.0,0.41,1.04,0.52,0.0,34.13,0.75,2.43,14.16,20.09,4.95,33.04,1.37,2.95,46.5,1.53,0.13,23.92,128.22,75.19,3.83,1.19,0.96,3.75,2.98,48.26,25.79,53.4,7.66,0.0,1.48,1.84,0.47,0.0,0.0,0.0,3.99,2.8,4.38,39.0
6,99127249,Antony,Manchester Utd,Premier League,172,64,Att Mid / Wing,Left,Brazil,22.65,Antony - 22.65 - Manchester Utd,0.34,0.17,0.34,0.0,0.0,0.09,0.0,0.22,0.22,0.14,0.36,3.42,1.71,50.0,0.1,0.2,19.9,0.0,0.07,0.12,0.12,35.59,46.03,77.3,527.6,134.23,19.76,23.61,83.7,13.6,16.6,82.0,1.37,3.25,42.1,1.11,1.45,1.54,0.26,3.59,44.14,1.88,0.43,0.09,7.79,0.43,2.31,0.34,0.0,0.0,0.0,36.02,5.05,4.96,39.52,3.85,0.77,1.11,0.34,0.34,0.68,2.65,1.2,3.51,3.08,0.0,0.09,0.17,0.0,0.17,0.6,0.43,0.0,0.09,0.0,0.0,0.09,1.45,0.6,0.51,0.77,0.17,0.6,1.88,31.8,1.28,10.61,2.14,20.2,1.8,5.73,3.08,1.2,0.0,0.0,1.63,3.08,0.17,0.0,58.94,0.43,5.9,21.3,36.44,4.19,57.49,1.71,3.76,45.5,1.88,0.34,48.51,248.1,143.38,9.41,2.31,1.2,1.11,1.45,53.47,45.86,85.8,7.61,0.0,0.43,2.05,0.34,0.0,0.0,0.0,6.59,0.51,0.77,40.0
7,328f7d51,Joe Aribo,Southampton,Premier League,183,76,Att Mid / Wing,Left,Nigeria,26.24,Joe Aribo - 26.24 - Southampton,0.16,0.16,0.16,0.0,0.0,0.16,0.0,0.24,0.24,0.26,0.5,1.75,0.42,24.2,0.09,0.38,13.0,0.0,0.14,-0.08,-0.08,24.72,32.93,75.1,321.25,92.59,16.25,20.17,80.6,6.19,8.1,76.5,0.79,1.43,55.6,1.54,1.59,1.01,0.16,2.81,32.82,0.11,0.05,0.11,7.73,0.16,0.85,0.0,0.0,0.0,0.0,23.88,5.08,3.97,21.92,6.25,1.85,0.0,0.64,0.11,0.32,1.38,1.43,3.02,2.38,0.0,0.21,0.26,0.16,0.0,0.37,0.32,0.0,0.05,0.0,0.0,0.0,2.17,1.38,1.01,0.95,0.21,0.53,1.27,41.7,0.74,18.85,6.09,32.3,4.08,9.16,5.61,1.54,0.11,0.0,1.48,3.65,1.06,0.0,46.96,1.32,6.88,22.18,20.86,4.76,46.91,1.59,2.86,55.6,1.75,0.11,31.29,147.55,84.39,4.5,1.43,0.69,2.12,1.91,44.63,31.82,71.3,5.45,0.0,0.95,1.43,0.05,0.0,0.0,0.0,7.09,3.12,4.34,41.8
8,68c720b5,Adam Armstrong,Southampton,Premier League,172,69,Forward,Right,England,25.68,Adam Armstrong - 25.68 - Southampton,0.12,0.18,0.12,0.0,0.0,0.06,0.0,0.23,0.23,0.11,0.35,2.2,0.71,32.4,0.05,0.17,15.4,0.0,0.11,-0.11,-0.11,16.06,22.25,72.2,272.68,50.32,8.03,10.05,79.9,6.19,7.97,77.6,1.49,2.68,55.6,0.89,1.13,0.95,0.18,1.96,20.11,2.14,0.0,0.0,3.93,0.71,1.19,0.0,0.0,0.0,0.0,14.34,4.04,3.87,4.82,14.81,1.55,0.12,0.36,0.06,0.06,0.95,1.13,1.73,1.25,0.0,0.24,0.12,0.12,0.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.77,0.48,0.3,0.3,0.18,0.06,0.65,9.1,0.59,14.4,4.16,28.9,1.96,5.89,6.54,1.31,0.18,0.0,0.65,1.43,0.54,0.0,33.73,0.77,3.81,14.34,18.32,4.7,31.59,1.19,2.5,47.6,1.25,0.12,22.66,150.61,88.22,3.87,1.49,0.89,1.9,1.67,38.43,22.9,59.6,5.83,0.0,1.01,0.65,0.12,0.0,0.0,0.0,4.16,0.89,2.38,27.3
9,97333cf5,Stuart Armstrong,Southampton,Premier League,183,68,Att Mid / Wing,Right,Scotland,30.55,Stuart Armstrong - 30.55 - Southampton,0.1,0.0,0.1,0.0,0.0,0.15,0.0,0.16,0.16,0.09,0.25,2.24,0.49,21.7,0.04,0.2,19.8,0.0,0.07,-0.06,-0.06,35.25,43.59,80.9,569.35,144.41,18.38,21.7,84.7,12.77,14.77,86.5,2.97,4.49,66.3,1.46,2.34,1.9,0.44,4.53,41.78,1.8,0.1,0.1,6.83,0.59,2.0,0.1,0.0,0.05,0.0,33.3,5.27,5.02,7.75,33.74,1.02,0.44,0.39,0.15,0.49,1.95,1.22,3.27,2.58,0.1,0.1,0.15,0.29,0.05,0.1,0.05,0.0,0.0,0.0,0.05,0.0,1.66,0.98,0.78,0.49,0.39,0.39,2.0,19.5,1.61,15.65,4.78,30.5,4.44,6.73,4.49,1.27,0.05,0.0,0.88,2.54,0.88,0.0,56.51,1.56,7.85,26.86,27.06,3.27,54.75,1.46,3.27,44.8,1.66,0.15,42.9,267.56,136.46,6.87,2.78,0.68,1.61,1.71,46.17,40.12,86.9,4.58,0.0,0.78,1.46,0.1,0.05,0.0,0.0,8.97,0.39,1.22,24.2
