,player_id,name,club,league,height_cm,weight_kg,position,foot,country,age,PD_Info,Goals,Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,Non-Penalty xG,xG Assisted,npxG + xA,Shots Total,Shots on target,Shots on target %,Goals/Shot,Goals/Shot on target,Average Shot Distance,Shots from free kicks,npxG/Sh,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Live-ball passes,Dead-ball passes,Passes from Free Kicks,Through Balls,Passes Under Pressure,Switches,Crosses,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Ground passes,Low Passes,High Passes,Passes Attempted (Left),Passes Attempted (Right),Passes Attempted (Head),Throw-Ins taken,Passes Attempted (Other),Passes Offside,Passes Out of Bounds,Passes Intercepted,Passes Blocked,Shot-Creating Actions,SCA (PassLive),SCA (PassDead),SCA (Drib),SCA (Sh),SCA (Fld),SCA (Def),Goal-Creating Actions,GCA (PassLive),GCA (PassDead),GCA (Drib),GCA (Sh),GCA (Fld),GCA (Def),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Contested,% of dribblers tackled,Dribbled Past,Pressures,Successful Pressures,Successful Pressure %,Pressures (Def 3rd),Pressures (Mid 3rd),Pressures (Att 3rd),Blocks,Shots Blocked,Shots Saved,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Dribbles Completed,Dribbles Attempted,Successful Dribble %,Players Dribbled Past,Nutmegs,Carries,Total Carrying Distance,Progressive Carrying Distance,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Pass Targets,Passes Received,Passes Received %,Progressive Passes Rec,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials won,Aerials lost,% of Aerials Won
0,9b398aea,Rayan Aït Nouri,Wolves,Premier League,179,69,Fullback,Left,France,21.37,Rayan Aït Nouri - 21.37 - Wolves,0.04,0.07,0.04,0.0,0.0,0.18,0.0,0.04,0.04,0.08,0.12,0.66,0.22,33.3,0.06,0.17,16.0,0.0,0.05,0.0,0.0,38.62,49.81,77.5,665.02,236.77,19.75,21.64,91.2,15.12,18.51,81.7,3.46,7.47,46.3,0.84,1.89,0.98,0.47,3.1,39.75,10.06,0.73,0.04,6.63,1.42,2.37,1.06,0.29,0.62,0.07,29.19,10.64,9.98,33.52,5.28,2.04,8.27,0.04,0.11,1.13,1.53,1.49,2.04,1.28,0.36,0.26,0.0,0.07,0.07,0.22,0.15,0.04,0.0,0.0,0.04,0.0,3.35,1.86,2.44,0.58,0.33,1.13,1.86,60.8,0.73,18.69,6.23,33.3,10.13,5.9,2.66,1.6,0.11,0.0,1.75,5.1,1.64,0.04,63.22,3.17,21.72,24.41,20.7,2.48,53.34,1.97,3.61,54.5,2.22,0.15,39.46,184.41,117.47,6.05,1.2,0.73,1.46,1.57,41.5,36.91,88.9,3.24,0.0,1.06,1.13,0.11,0.04,0.04,0.04,6.78,1.09,1.09,50.0
1,cd1acf9d,Trent Alexander Arnold,Liverpool,Premier League,175,68,Fullback,Right,England,24.04,Trent Alexander Arnold - 24.04 - Liverpool,0.09,0.3,0.09,0.0,0.0,0.14,0.0,0.08,0.08,0.31,0.39,1.56,0.41,26.5,0.06,0.22,23.3,0.18,0.05,0.01,0.01,64.95,87.32,74.4,1427.8,595.73,23.58,26.83,87.9,26.79,33.31,80.4,13.97,24.7,56.5,2.63,7.58,2.82,0.96,8.47,70.24,17.08,2.68,0.48,7.17,6.04,4.05,3.73,0.87,2.56,0.07,46.39,14.88,26.05,10.14,64.04,1.83,10.67,0.18,0.37,1.26,3.34,1.08,4.33,2.5,1.49,0.11,0.18,0.05,0.0,0.46,0.3,0.11,0.0,0.05,0.0,0.0,1.47,0.82,0.82,0.41,0.23,0.82,2.01,40.9,1.19,8.84,3.25,36.8,3.3,2.93,2.61,1.14,0.07,0.02,2.06,3.53,1.12,0.02,96.02,2.18,18.93,46.98,34.27,2.59,78.92,0.66,1.1,60.4,0.71,0.0,56.07,194.13,104.17,4.65,1.81,0.32,0.73,0.64,65.34,60.9,93.2,3.64,0.0,0.5,0.3,0.23,0.0,0.0,0.0,10.62,0.5,0.69,42.3
2,9fec8860,Ludwig Augustinsson,Aston Villa,Premier League,181,74,Fullback,Left,Sweden,28.49,Ludwig Augustinsson - 28.49 - Aston Villa,0.0,0.09,0.0,0.0,0.0,0.47,0.0,0.05,0.05,0.09,0.14,0.47,0.19,40.0,0.0,0.0,17.0,0.0,0.09,-0.05,-0.05,49.68,63.69,78.0,845.87,266.21,24.04,26.12,92.0,20.16,23.75,84.9,4.73,11.36,41.7,1.32,2.27,0.85,0.47,1.99,51.39,12.3,1.23,0.0,5.3,2.56,2.84,1.99,0.0,1.7,0.0,37.57,11.26,14.86,45.24,5.77,1.61,9.09,0.57,0.28,1.32,1.32,1.61,1.8,1.23,0.47,0.0,0.0,0.0,0.09,0.09,0.0,0.09,0.0,0.0,0.0,0.0,2.08,1.23,1.04,0.66,0.38,0.66,1.61,41.2,0.95,13.44,4.73,35.2,6.25,4.45,2.74,1.89,0.28,0.0,1.32,3.41,2.93,0.0,73.34,2.93,24.89,30.28,21.86,1.61,61.61,0.19,0.28,66.7,0.19,0.0,41.74,187.85,92.08,3.5,1.23,0.28,0.95,1.04,48.93,45.14,92.3,2.08,0.0,1.89,1.51,0.0,0.0,0.0,0.0,7.67,2.65,1.42,65.1
3,5c2b4f07,Serge Aurier,Nott'ham Forest,Premier League,176,76,Fullback,Right,C&#244;te d'Ivoire,29.82,Serge Aurier - 29.82 - Nott'ham Forest,0.0,0.14,0.0,0.0,0.0,0.34,0.0,0.05,0.05,0.13,0.19,0.82,0.14,16.7,0.0,0.0,16.0,0.0,0.06,-0.05,-0.05,53.16,63.32,84.0,964.89,343.26,21.13,23.73,89.0,26.14,30.32,86.2,5.08,7.13,71.2,0.69,2.95,1.17,0.55,3.77,53.64,9.67,0.89,0.0,7.0,1.37,1.65,0.07,0.0,0.0,0.0,44.59,10.02,8.71,5.28,44.79,3.16,8.71,0.14,0.14,0.75,1.51,1.51,1.17,1.1,0.07,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,1.92,1.3,1.23,0.55,0.14,0.69,1.3,52.6,0.62,11.8,3.77,32.0,5.56,4.12,2.13,2.2,0.69,0.07,2.2,4.12,2.06,0.0,75.53,3.98,26.34,34.98,18.38,1.65,66.06,0.75,1.51,50.0,0.89,0.07,46.44,182.61,100.7,4.25,1.44,0.21,0.96,0.96,49.46,46.17,93.3,2.33,0.0,1.37,0.69,0.07,0.0,0.07,0.0,9.54,2.2,1.17,65.3
4,53cad200,César Azpilicueta,Chelsea,Premier League,178,76,Fullback,Right,Spain,33.14,César Azpilicueta - 33.14 - Chelsea,0.07,0.0,0.07,0.0,0.0,0.17,0.0,0.05,0.05,0.08,0.13,0.59,0.28,47.1,0.12,0.25,15.6,0.0,0.08,0.02,0.02,65.66,77.48,84.7,1107.38,389.69,31.5,34.58,91.1,29.41,32.87,89.5,4.16,7.87,52.9,0.77,4.51,0.8,0.17,5.42,69.76,7.73,1.57,0.04,6.54,0.49,1.68,0.0,0.0,0.0,0.0,57.73,8.95,10.8,6.4,60.63,3.11,6.15,0.07,0.21,0.87,2.31,2.06,1.61,1.57,0.0,0.04,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,2.2,1.29,0.84,1.01,0.35,0.98,1.92,50.9,0.94,15.1,4.72,31.3,5.84,6.57,2.69,2.48,0.42,0.0,1.82,4.02,3.18,0.04,88.22,4.2,25.0,43.67,24.3,2.31,80.8,0.56,0.77,72.7,0.56,0.04,54.72,223.95,135.42,6.64,1.92,0.31,0.63,0.49,65.59,61.78,94.2,2.27,0.0,1.26,0.35,0.07,0.0,0.04,0.0,7.87,2.2,1.33,62.4
5,bd6351cd,João Cancelo,Manchester City,Premier League,182,66,Fullback,Right,Portugal,28.39,João Cancelo - 28.39 - Manchester City,0.06,0.3,0.06,0.0,0.0,0.21,0.0,0.09,0.09,0.17,0.25,1.98,0.55,28.0,0.03,0.12,22.1,0.02,0.04,-0.02,-0.02,77.33,90.92,85.1,1380.87,388.2,36.61,39.34,93.1,32.08,36.7,87.4,7.9,12.39,63.7,1.15,7.07,2.41,0.43,7.47,82.23,8.69,1.4,0.15,7.68,2.68,2.9,0.0,0.0,0.0,0.0,64.29,12.94,13.69,11.37,68.2,2.7,7.28,0.34,0.21,1.45,2.51,0.94,2.94,2.36,0.0,0.19,0.28,0.04,0.06,0.53,0.45,0.0,0.04,0.02,0.0,0.02,2.26,1.43,0.83,0.85,0.57,0.92,2.11,43.4,1.19,8.94,3.19,35.7,2.64,3.73,2.58,1.04,0.11,0.02,1.85,4.11,1.43,0.02,102.45,2.06,17.14,55.54,36.87,3.24,94.09,1.58,3.07,51.4,1.79,0.43,75.18,328.84,183.15,9.92,3.49,0.96,0.92,0.83,78.99,75.82,96.0,3.85,0.0,0.98,1.09,0.15,0.0,0.02,0.0,9.79,1.47,1.13,56.6
6,1137759d,Sergi Canós,Brentford,Premier League,175,69,Fullback,Right,Spain,25.71,Sergi Canós - 25.71 - Brentford,0.12,0.12,0.12,0.0,0.0,0.31,0.06,0.14,0.14,0.07,0.22,1.62,0.56,34.6,0.08,0.22,15.9,0.06,0.09,-0.02,-0.02,21.29,34.17,62.3,356.7,138.61,11.2,14.07,79.6,7.47,11.2,66.7,2.12,6.47,32.7,0.81,2.3,1.06,0.44,3.55,32.8,1.37,0.19,0.12,5.98,1.0,2.3,0.37,0.19,0.12,0.0,19.73,4.85,9.59,4.54,26.7,1.62,0.75,0.12,0.0,0.93,1.81,1.43,1.56,1.24,0.06,0.12,0.06,0.06,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,2.18,0.93,0.93,0.81,0.44,0.87,2.68,32.6,1.81,19.42,4.92,25.3,7.28,7.78,4.36,1.56,0.12,0.0,1.31,3.49,1.49,0.0,46.56,2.8,12.32,21.54,16.31,2.68,45.19,1.12,2.61,42.9,1.24,0.25,30.68,173.78,99.4,5.35,1.62,0.44,1.0,1.81,36.54,28.63,78.4,3.55,0.06,1.37,1.0,0.31,0.0,0.0,0.06,8.65,0.68,1.37,33.3
7,2389cdc2,Matty Cash,Aston Villa,Premier League,185,76,Fullback,Right,Poland,25.2,Matty Cash - 25.2 - Aston Villa,0.08,0.08,0.08,0.0,0.0,0.22,0.0,0.05,0.05,0.05,0.11,0.78,0.3,37.9,0.1,0.27,18.2,0.0,0.07,0.03,0.03,32.14,43.8,73.4,581.96,216.01,14.38,16.38,87.8,13.63,16.82,81.0,3.51,8.76,40.1,0.78,2.03,0.95,0.54,2.57,34.77,9.03,0.73,0.03,4.24,1.14,2.41,0.0,0.0,0.0,0.0,23.76,8.25,11.79,4.24,28.63,1.89,8.3,0.08,0.11,0.78,1.38,2.0,1.46,1.14,0.03,0.08,0.03,0.16,0.03,0.11,0.08,0.0,0.03,0.0,0.0,0.0,2.41,1.11,1.46,0.78,0.16,1.05,1.92,54.9,0.87,12.92,3.68,28.5,7.3,4.46,1.16,2.51,0.51,0.0,2.33,4.73,2.51,0.0,56.26,4.11,19.57,24.3,15.76,2.35,47.45,0.51,0.81,63.3,0.57,0.08,31.31,191.65,106.41,3.87,1.19,0.65,0.76,1.24,32.98,29.55,89.6,2.51,0.0,1.27,1.32,0.05,0.0,0.03,0.0,7.0,1.08,1.22,47.1
8,197640fd,Timothy Castagne,Leicester City,Premier League,180,79,Fullback,Right,Belgium,26.88,Timothy Castagne - 26.88 - Leicester City,0.07,0.03,0.07,0.0,0.0,0.03,0.0,0.05,0.05,0.07,0.12,0.4,0.23,58.3,0.17,0.29,12.0,0.0,0.12,0.02,0.02,47.75,57.34,83.3,779.03,270.36,25.81,28.65,90.1,17.87,21.11,84.6,3.47,5.69,61.0,0.69,2.75,0.76,0.36,3.11,48.74,8.6,0.4,0.03,6.85,0.6,1.89,0.07,0.03,0.03,0.0,36.93,11.18,9.23,5.72,39.51,2.94,8.14,0.17,0.07,0.73,1.62,1.72,1.13,1.03,0.1,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,2.35,1.09,1.16,0.96,0.23,0.69,1.49,46.7,0.79,12.44,4.33,34.8,5.29,5.1,2.05,1.99,0.26,0.0,1.49,3.84,2.55,0.07,68.39,3.9,21.74,31.53,18.66,1.46,59.86,0.36,0.69,52.4,0.4,0.0,39.87,158.0,85.27,4.07,1.22,0.1,1.29,0.66,47.15,42.78,90.7,2.98,0.0,0.79,0.6,0.1,0.0,0.0,0.0,7.35,1.82,1.69,51.9
9,e28868f3,Jonny Castro,Wolves,Premier League,175,69,Fullback,Right,Spain,28.62,Jonny Castro - 28.62 - Wolves,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.05,0.05,0.06,0.1,0.86,0.29,33.3,0.11,0.33,20.1,0.0,0.05,0.05,0.05,48.09,56.84,84.6,829.84,256.21,22.88,25.02,91.4,19.41,22.5,86.3,4.8,6.52,73.7,0.52,2.52,0.67,0.24,3.14,47.95,8.9,0.76,0.05,8.94,0.86,0.9,0.0,0.0,0.0,0.0,39.29,10.99,6.56,10.08,36.34,1.52,8.13,0.05,0.05,0.43,2.19,1.86,1.38,1.14,0.0,0.05,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,1.33,1.33,0.86,0.05,0.76,1.81,42.1,1.05,14.41,4.38,30.4,7.09,5.47,1.86,2.14,0.29,0.0,1.24,3.47,1.19,0.05,69.02,2.95,22.21,32.11,18.98,1.62,60.46,1.09,1.71,63.9,1.09,0.05,44.57,210.3,129.15,5.47,1.24,0.43,1.28,1.71,46.86,44.33,94.6,2.09,0.0,0.86,1.57,0.05,0.0,0.0,0.0,7.94,1.09,1.43,43.4
