,player_id,name,club,league,height_cm,weight_kg,position,foot,country,age,PD_Info,Goals Against,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,Post-Shot Expected Goals,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Passes Attempted,Throws Attempted,Launch %,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
0,7a2e46a8,Alisson,Liverpool,Premier League,193,91,Goalkeeper,Right,Brazil,30.05,Alisson - 30.05 - Liverpool,0.85,2.68,1.89,70.4,0.7,0.17,0.13,0.47,47.2,0.09,0.06,0.02,0.02,25.0,0.0,0.08,0.02,0.93,0.32,0.1,5.09,9.51,53.6,33.04,5.42,23.3,30.1,4.51,40.2,37.1,5.34,0.51,9.5,1.51,17.8
1,2f965a72,Alphonse Areola,West Ham,Premier League,192,87,Goalkeeper,Right,France,29.64,Alphonse Areola - 29.64 - West Ham,0.92,3.24,2.5,74.4,0.33,0.17,0.42,0.33,36.4,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.08,1.06,0.31,0.22,5.49,14.64,37.5,20.55,3.33,48.2,40.8,9.15,51.8,43.6,9.57,0.33,3.5,0.25,12.4
2,28d596a0,Kepa Arrizabalaga,Chelsea,Premier League,189,87,Goalkeeper,Right,Spain,28.05,Kepa Arrizabalaga - 28.05 - Chelsea,0.67,3.58,2.75,81.4,0.5,0.33,0.17,0.5,50.0,0.0,0.0,0.0,0.0,,0.0,0.08,0.0,1.07,0.3,0.4,3.83,10.83,35.4,25.33,4.08,33.2,33.0,5.75,42.0,37.2,7.25,0.17,2.3,1.33,18.4
3,c91441dc,Gavin Bazunu,Southampton,Premier League,189,79,Goalkeeper,Right,Republic of Ireland,20.66,Gavin Bazunu - 20.66 - Southampton,1.64,4.09,2.45,60.0,0.27,0.18,0.55,0.09,9.1,0.0,0.0,0.0,0.0,,0.09,0.27,0.09,1.09,0.27,-0.45,8.18,23.64,34.6,30.91,4.0,58.5,46.3,7.36,75.3,58.1,9.36,0.73,7.8,1.09,14.8
4,3bb7b8b4,Ederson,Manchester City,Premier League,188,88,Goalkeeper,Left,Brazil,29.17,Ederson - 29.17 - Manchester City,0.81,2.28,1.55,68.1,0.75,0.17,0.08,0.52,51.9,0.08,0.08,0.0,0.0,0.0,0.02,0.06,0.04,0.75,0.3,-0.02,4.55,7.79,58.4,26.99,3.63,24.4,30.4,4.09,29.1,34.4,4.89,0.38,7.8,0.82,17.7
5,9328b835,Łukasz Fabiański,West Ham,Premier League,190,83,Goalkeeper,Right,Poland,37.5,Łukasz Fabiański - 37.5 - West Ham,1.27,4.17,2.95,71.3,0.38,0.2,0.43,0.2,20.0,0.18,0.08,0.08,0.03,50.0,0.03,0.25,0.08,1.35,0.29,0.15,6.64,16.79,39.5,20.66,4.3,56.2,44.1,7.5,69.2,51.5,9.21,0.53,5.8,0.23,12.1
6,7ba6d84e,David de Gea,Manchester Utd,Premier League,192,76,Goalkeeper,Right,Spain,31.95,David de Gea - 31.95 - Manchester Utd,1.45,4.27,2.92,67.9,0.47,0.22,0.31,0.29,28.6,0.12,0.08,0.04,0.0,33.3,0.0,0.2,0.04,1.43,0.32,0.02,4.33,11.92,36.3,18.35,3.22,41.2,36.8,7.78,56.2,45.1,7.78,0.24,3.1,0.31,13.7
7,ab13a5aa,Vicente Guaita,Crystal Palace,Premier League,191,79,Goalkeeper,Right,,35.77,Vicente Guaita - 35.77 - Crystal Palace,1.05,3.65,2.73,73.9,0.35,0.32,0.35,0.35,34.4,0.1,0.1,0.0,0.0,0.0,0.0,0.29,0.03,1.0,0.25,-0.02,6.19,13.49,45.9,25.78,5.3,38.5,34.1,7.37,48.3,39.7,8.22,0.63,7.7,0.7,14.4
8,e5a76dfe,Dean Henderson,Nott'ham Forest,Premier League,188,73,Goalkeeper,Right,England,25.6,Dean Henderson - 25.6 - Nott'ham Forest,2.04,5.28,3.32,62.9,0.09,0.34,0.6,0.17,16.7,0.26,0.09,0.17,0.0,66.7,0.09,0.6,0.0,1.87,0.31,-0.17,7.41,22.05,33.6,32.36,6.64,51.6,42.3,8.94,60.0,49.0,9.96,0.68,6.8,1.19,13.8
9,2628fd2b,Bernd Leno,Fulham,Premier League,190,78,Goalkeeper,Right,Germany,30.62,Bernd Leno - 30.62 - Fulham,2.0,5.89,4.0,69.8,0.44,0.11,0.44,0.11,11.1,0.22,0.22,0.0,0.0,0.0,0.0,0.44,0.0,2.24,0.36,0.24,5.0,14.56,34.4,23.33,3.89,45.2,39.7,7.33,54.5,46.5,9.89,0.44,4.5,0.78,15.3
10,8f62b6ee,Hugo Lloris,Tottenham,Premier League,188,78,Goalkeeper,Left,France,35.82,Hugo Lloris - 35.82 - Tottenham,0.98,3.53,2.56,73.6,0.58,0.18,0.24,0.42,42.2,0.04,0.04,0.0,0.0,0.0,0.02,0.13,0.0,0.98,0.27,0.0,3.89,8.18,47.6,19.53,4.11,32.2,32.6,7.09,26.6,27.7,8.62,0.58,6.7,0.69,14.7
11,7956236f,Emiliano Martínez,Aston Villa,Premier League,193,84,Goalkeeper,Right,Argentina,30.13,Emiliano Martínez - 30.13 - Aston Villa,1.33,3.77,2.56,67.3,0.31,0.21,0.49,0.26,25.6,0.15,0.1,0.05,0.0,33.3,0.05,0.13,0.05,1.17,0.28,-0.11,5.49,13.23,41.5,22.85,4.03,44.3,38.4,6.95,44.6,39.6,7.44,0.44,5.9,0.51,13.6
12,33887998,Edouard Mendy,Chelsea,Premier League,197,86,Goalkeeper,Right,Senegal,30.63,Edouard Mendy - 30.63 - Chelsea,1.07,2.7,1.79,65.1,0.57,0.25,0.17,0.37,37.5,0.12,0.12,0.0,0.0,0.0,0.0,0.07,0.02,0.88,0.29,-0.16,2.95,6.74,43.8,21.1,3.94,23.6,28.7,4.96,35.5,31.3,6.25,0.5,7.9,0.6,14.5
13,6b625ac2,Illan Meslier,Leeds United,Premier League,193,73,Goalkeeper,Left,France,22.62,Illan Meslier - 22.62 - Leeds United,1.99,5.49,3.58,66.0,0.26,0.29,0.47,0.16,15.4,0.13,0.13,0.0,0.0,0.0,0.1,0.21,0.0,1.77,0.3,-0.22,4.15,14.07,29.5,26.71,6.42,39.1,34.9,7.25,50.0,42.4,6.66,0.54,8.2,0.96,14.6
14,a9dc785c,Neto,Bournemouth,Premier League,193,83,Goalkeeper,Right,Brazil,33.25,Neto - 33.25 - Bournemouth,1.0,3.75,3.13,83.3,0.38,0.5,0.13,0.25,25.0,0.38,0.38,0.0,0.0,0.0,0.0,0.25,0.0,1.15,0.22,0.15,6.63,16.63,39.8,21.75,4.5,53.4,41.0,7.5,66.7,49.9,11.75,0.88,7.4,0.75,14.8
15,4806ec67,Jordan Pickford,Everton,Premier League,185,77,Goalkeeper,Left,England,28.61,Jordan Pickford - 28.61 - Everton,1.68,5.05,3.5,68.2,0.18,0.21,0.61,0.16,15.8,0.08,0.08,0.0,0.0,0.0,0.05,0.29,0.11,1.67,0.32,0.09,8.68,23.76,36.5,25.97,3.45,67.6,51.7,7.71,80.5,62.9,9.45,0.55,5.8,0.92,15.6
16,4b40d9ca,Nick Pope,Newcastle Utd,Premier League,190,76,Goalkeeper,Right,England,30.5,Nick Pope - 30.5 - Newcastle Utd,1.1,4.28,3.28,77.8,0.28,0.44,0.28,0.33,33.3,0.15,0.15,0.0,0.0,0.0,0.0,0.21,0.03,1.31,0.28,0.23,7.77,20.82,37.3,21.56,4.33,66.7,49.0,7.13,90.3,64.5,9.95,0.92,9.3,1.74,18.2
17,466fb2c5,Aaron Ramsdale,Arsenal,Premier League,195,79,Goalkeeper,Right,England,24.43,Aaron Ramsdale - 24.43 - Arsenal,1.18,3.46,2.38,70.4,0.69,0.03,0.28,0.33,33.3,0.21,0.15,0.0,0.05,0.0,0.0,0.1,0.05,1.01,0.25,-0.12,5.08,14.97,33.9,27.59,4.44,41.4,37.9,5.03,70.4,57.0,7.0,0.51,7.3,1.05,16.2
18,98ea5115,David Raya,Brentford,Premier League,186,81,Goalkeeper,Right,Spain,27.1,David Raya - 27.1 - Brentford,1.37,5.04,3.81,75.7,0.37,0.26,0.37,0.33,33.3,0.15,0.15,0.0,0.0,0.0,0.04,0.3,0.04,1.29,0.23,-0.04,10.33,23.19,44.6,34.59,4.78,51.0,41.7,7.78,71.4,54.2,8.78,0.52,5.9,1.0,15.4
19,903b6e8b,José Sá,Wolves,Premier League,192,86,Goalkeeper,Right,Portugal,29.75,José Sá - 29.75 - Wolves,1.16,4.1,3.11,75.9,0.33,0.2,0.48,0.33,32.5,0.25,0.18,0.05,0.03,22.2,0.03,0.08,0.05,1.29,0.27,0.18,4.43,13.49,32.8,24.76,5.14,39.5,37.2,7.52,49.5,42.2,8.84,0.89,10.0,0.89,14.7
20,6a713852,Robert Sánchez,Brighton,Premier League,197,87,Goalkeeper,Right,Spain,24.92,Robert Sánchez - 24.92 - Brighton,1.23,3.85,2.72,69.3,0.31,0.38,0.31,0.28,28.2,0.08,0.05,0.0,0.03,0.0,0.03,0.15,0.08,1.28,0.32,0.13,4.87,15.93,30.6,31.68,4.05,37.2,38.3,6.36,64.9,52.4,7.85,0.72,9.2,0.64,13.4
21,d3ce0e89,Danny Ward,Leicester City,Premier League,191,87,Goalkeeper,Right,Wales,29.32,Danny Ward - 29.32 - Leicester City,2.27,4.45,2.27,51.0,0.18,0.18,0.64,0.18,18.2,0.09,0.09,0.0,0.0,0.0,0.09,0.45,0.09,1.69,0.36,-0.49,3.18,9.55,33.3,28.36,5.64,25.0,29.7,5.64,43.5,39.8,6.09,0.45,7.5,1.0,15.9
22,9e17ccff,Doğan Alemdar,Rennes,Ligue 1,189,78,Goalkeeper,Right,Turkey,19.98,Doğan Alemdar - 19.98 - Rennes,1.17,2.69,1.52,59.0,0.48,0.07,0.41,0.28,28.6,0.21,0.07,0.14,0.0,66.7,0.0,0.14,0.0,0.95,0.3,-0.22,5.52,13.72,40.2,26.0,3.93,34.5,34.4,6.07,78.4,54.5,8.9,0.41,4.7,1.03,15.1
23,28dabd43,Paul Bernardoni,Angers,Ligue 1,190,78,Goalkeeper,Left,France,25.5,Paul Bernardoni - 25.5 - Angers,2.07,5.07,3.18,60.0,0.18,0.29,0.54,0.14,14.3,0.21,0.21,0.0,0.0,0.0,0.11,0.43,0.11,1.7,0.3,-0.4,5.32,16.39,32.5,22.25,6.14,50.6,40.4,7.89,65.2,48.5,8.39,1.18,14.0,1.14,15.3
