,player_id,name,club,league,height_cm,weight_kg,position,foot,country,age,PD_Info,Goals,Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,Non-Penalty xG,xG Assisted,npxG + xA,Shots Total,Shots on target,Shots on target %,Goals/Shot,Goals/Shot on target,Average Shot Distance,Shots from free kicks,npxG/Sh,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Live-ball passes,Dead-ball passes,Passes from Free Kicks,Through Balls,Passes Under Pressure,Switches,Crosses,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Ground passes,Low Passes,High Passes,Passes Attempted (Left),Passes Attempted (Right),Passes Attempted (Head),Throw-Ins taken,Passes Attempted (Other),Passes Offside,Passes Out of Bounds,Passes Intercepted,Passes Blocked,Shot-Creating Actions,SCA (PassLive),SCA (PassDead),SCA (Drib),SCA (Sh),SCA (Fld),SCA (Def),Goal-Creating Actions,GCA (PassLive),GCA (PassDead),GCA (Drib),GCA (Sh),GCA (Fld),GCA (Def),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Contested,% of dribblers tackled,Dribbled Past,Pressures,Successful Pressures,Successful Pressure %,Pressures (Def 3rd),Pressures (Mid 3rd),Pressures (Att 3rd),Blocks,Shots Blocked,Shots Saved,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Dribbles Completed,Dribbles Attempted,Successful Dribble %,Players Dribbled Past,Nutmegs,Carries,Total Carrying Distance,Progressive Carrying Distance,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Pass Targets,Passes Received,Passes Received %,Progressive Passes Rec,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials won,Aerials lost,% of Aerials Won
0,2b09d998,Tyler Adams,Leeds United,Premier League,180,69,Midfielder,Right,United States,23.67,Tyler Adams - 23.67 - Leeds United,0.0,0.04,0.0,0.0,0.0,0.35,0.0,0.01,0.01,0.06,0.06,0.17,0.04,25.0,0.0,0.0,26.3,0.0,0.04,-0.01,-0.01,52.39,60.91,86.0,870.69,217.05,25.94,28.88,89.8,20.79,23.65,87.9,4.58,6.27,73.1,0.73,4.32,0.56,0.0,4.37,58.23,2.68,2.07,0.04,8.39,0.52,0.13,0.0,0.0,0.0,0.0,47.29,5.1,8.52,9.12,46.69,3.29,0.56,0.04,0.13,0.82,1.3,2.03,1.47,1.38,0.0,0.09,0.0,0.0,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,2.64,1.47,0.95,1.38,0.3,1.12,2.29,49.1,1.17,21.66,7.26,33.5,6.01,12.62,3.03,2.38,0.35,0.0,1.34,3.98,1.17,0.04,71.5,2.16,15.65,47.85,12.75,0.56,69.03,0.65,1.04,62.5,0.65,0.0,45.48,210.82,105.48,4.67,1.43,0.17,0.95,0.78,51.18,47.55,92.9,1.12,0.0,1.86,1.12,0.0,0.0,0.0,0.0,11.97,1.25,1.04,54.7
1,77e84962,Thiago Alcántara,Liverpool,Premier League,172,59,Midfielder,Right,Spain,31.52,Thiago Alcántara - 31.52 - Liverpool,0.07,0.11,0.07,0.0,0.0,0.14,0.0,0.06,0.06,0.1,0.16,1.14,0.32,28.1,0.06,0.22,21.1,0.0,0.06,0.01,0.01,74.93,83.89,89.3,1560.77,421.01,27.15,29.24,92.8,33.15,35.96,92.2,13.61,16.52,82.4,1.28,10.45,1.24,0.07,9.45,82.22,1.67,1.24,0.14,11.83,3.94,0.14,0.04,0.0,0.04,0.0,63.78,7.67,12.44,6.0,73.55,2.1,0.21,0.46,0.14,0.92,1.99,1.21,2.98,2.63,0.0,0.07,0.11,0.04,0.14,0.25,0.25,0.0,0.0,0.0,0.0,0.0,3.3,2.35,0.85,1.85,0.6,0.78,2.31,33.8,1.53,19.01,6.75,35.5,4.55,10.06,4.41,1.31,0.11,0.0,2.66,5.97,1.03,0.11,95.33,2.17,16.27,63.39,21.5,1.03,93.87,0.89,1.49,59.5,0.89,0.0,69.71,298.46,155.48,7.71,2.38,0.14,0.39,1.17,75.11,71.28,94.9,2.56,0.0,1.53,1.95,0.0,0.0,0.04,0.0,12.26,1.85,1.24,59.8
2,2886c9b5,Shandon Baptiste,Brentford,Premier League,180,74,Midfielder,Right,Grenada,24.53,Shandon Baptiste - 24.53 - Brentford,0.08,0.0,0.08,0.0,0.0,0.08,0.0,0.06,0.06,0.09,0.17,0.87,0.4,45.5,0.09,0.2,18.3,0.0,0.08,0.02,0.02,28.08,33.14,84.7,500.93,108.82,13.13,14.55,90.2,10.68,12.18,87.7,3.4,4.75,71.7,1.11,2.21,0.79,0.0,2.77,32.82,0.32,0.16,0.16,5.85,0.63,0.32,0.0,0.0,0.0,0.0,26.18,3.08,3.88,5.69,25.62,0.87,0.16,0.08,0.08,0.4,1.19,1.03,1.82,1.34,0.0,0.16,0.0,0.16,0.16,0.32,0.16,0.0,0.0,0.0,0.08,0.08,1.19,0.55,0.79,0.16,0.24,0.4,1.74,22.7,1.34,18.66,5.77,30.9,5.54,8.7,4.43,1.19,0.16,0.0,1.74,2.93,1.34,0.0,44.13,1.5,10.28,22.94,14.63,1.66,43.81,1.34,1.9,70.8,1.34,0.0,31.87,162.6,93.95,4.51,1.66,0.16,1.82,1.11,39.86,29.18,73.2,3.88,0.0,1.19,1.58,0.16,0.0,0.0,0.0,8.23,1.11,2.06,35.0
3,50dc94ce,Donny van de Beek,Manchester Utd,Premier League,181,76,Midfielder,Right,Netherlands,25.5,Donny van de Beek - 25.5 - Manchester Utd,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.21,0.21,0.06,0.28,0.98,0.37,37.5,0.25,0.67,15.5,0.0,0.22,0.04,0.04,39.41,46.78,84.3,613.92,184.91,20.75,23.94,86.7,14.98,16.58,90.4,2.21,4.05,54.5,0.61,2.7,0.74,0.0,2.7,45.8,0.98,0.12,0.12,6.88,0.37,0.86,0.25,0.12,0.0,0.0,37.2,3.81,5.77,5.89,37.57,1.96,0.12,0.12,0.25,0.74,1.6,0.61,1.6,1.47,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.19,1.84,1.72,1.35,0.12,0.98,2.95,33.3,1.96,19.28,5.28,27.4,5.53,9.45,4.3,1.11,0.49,0.0,1.72,4.91,1.11,0.0,58.32,2.09,13.87,31.92,14.61,1.6,57.46,0.98,1.84,53.3,1.11,0.12,34.38,121.43,50.46,2.21,0.37,0.0,0.37,1.72,41.5,37.33,89.9,1.96,0.0,2.33,0.49,0.0,0.0,0.0,0.0,11.17,1.35,1.23,52.4
4,3b8674e6,Rodrigo Bentancur,Tottenham,Premier League,185,73,Midfielder,Right,Uruguay,25.32,Rodrigo Bentancur - 25.32 - Tottenham,0.03,0.15,0.03,0.0,0.0,0.26,0.0,0.04,0.04,0.08,0.12,0.7,0.13,18.5,0.04,0.2,19.9,0.0,0.06,-0.02,-0.02,55.18,62.37,88.5,1035.48,231.04,22.02,23.79,92.5,25.47,27.89,91.3,6.67,8.42,79.2,0.75,5.07,0.52,0.1,4.89,61.18,1.18,1.0,0.08,8.47,1.26,0.59,0.0,0.0,0.0,0.0,52.56,4.3,5.51,11.38,47.64,2.09,0.1,0.03,0.03,0.39,1.39,1.13,2.32,2.09,0.0,0.0,0.08,0.03,0.13,0.33,0.26,0.0,0.0,0.03,0.0,0.05,2.5,1.31,1.0,1.06,0.44,0.62,1.8,34.3,1.18,21.19,5.74,27.1,6.85,10.87,3.48,1.83,0.7,0.0,1.83,4.33,1.52,0.0,72.95,3.5,17.67,46.2,13.75,1.11,71.87,0.7,1.11,62.8,0.75,0.05,51.63,233.82,110.45,4.17,1.26,0.18,0.72,1.18,55.98,53.25,95.1,2.06,0.0,1.93,0.85,0.0,0.0,0.0,0.0,9.32,1.62,0.82,66.3
5,6c203af0,Yves Bissouma,Tottenham,Premier League,181,72,Midfielder,Right,Mali,26.14,Yves Bissouma - 26.14 - Tottenham,0.04,0.04,0.04,0.0,0.0,0.53,0.0,0.04,0.04,0.03,0.07,0.88,0.22,25.0,0.05,0.2,24.0,0.0,0.04,0.01,0.01,47.65,52.52,90.7,877.47,166.59,20.95,22.49,93.2,20.25,21.66,93.5,5.96,7.15,83.4,0.44,3.33,0.39,0.0,2.32,51.73,0.79,0.75,0.0,6.44,1.1,0.18,0.0,0.0,0.0,0.0,44.72,3.9,3.9,5.79,44.15,1.53,0.0,0.48,0.09,0.35,1.53,1.62,1.1,0.75,0.0,0.09,0.09,0.0,0.18,0.09,0.04,0.0,0.0,0.0,0.0,0.04,2.76,1.84,1.18,1.53,0.04,0.66,1.58,41.7,0.92,17.1,5.66,33.1,7.15,8.2,1.75,2.06,0.44,0.0,2.37,5.13,2.24,0.0,65.1,4.38,18.37,40.11,11.57,0.53,64.44,1.01,1.53,65.7,1.01,0.04,44.19,240.98,111.96,4.03,1.53,0.09,1.05,1.32,45.55,43.62,95.8,0.53,0.0,1.53,1.1,0.0,0.0,0.04,0.0,10.7,0.88,0.61,58.8
6,16264a81,Moisés Caicedo,Brighton,Premier League,178,74,Midfielder,Right,Ecuador,20.97,Moisés Caicedo - 20.97 - Brighton,0.12,0.06,0.12,0.0,0.0,0.23,0.0,0.07,0.07,0.05,0.12,1.05,0.47,44.4,0.11,0.25,20.2,0.0,0.07,0.05,0.05,40.6,47.59,85.3,665.42,161.77,21.15,23.83,88.8,13.75,16.31,84.3,4.54,5.53,82.1,0.93,3.61,0.76,0.12,3.79,47.36,0.23,0.23,0.0,9.2,0.41,0.35,0.0,0.0,0.0,0.0,36.29,5.24,6.06,5.01,38.97,2.16,0.0,0.17,0.06,0.17,1.75,1.11,1.69,1.51,0.0,0.06,0.12,0.0,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,2.85,1.98,1.05,1.17,0.64,0.76,1.51,50.0,0.76,17.42,5.42,31.1,4.72,9.61,3.09,1.51,0.41,0.0,1.69,4.54,1.34,0.0,57.96,2.56,13.57,31.57,15.9,1.75,57.73,0.7,1.11,63.2,0.76,0.0,39.38,157.86,85.69,3.67,1.17,0.41,0.87,0.7,42.17,38.62,91.6,1.34,0.0,2.04,1.86,0.06,0.0,0.0,0.0,10.6,1.57,0.76,67.5
7,4d224fe8,Casemiro,Manchester Utd,Premier League,184,79,Midfielder,Right,Brazil,30.65,Casemiro - 30.65 - Manchester Utd,0.03,0.08,0.03,0.0,0.0,0.35,0.0,0.08,0.08,0.09,0.17,1.35,0.3,22.0,0.02,0.09,22.6,0.03,0.06,-0.05,-0.05,57.08,66.29,86.1,1132.89,316.45,22.9,25.68,89.2,23.09,26.35,87.6,9.8,12.11,80.9,0.89,5.73,0.62,0.03,4.87,64.62,1.67,1.48,0.11,10.15,2.66,0.3,0.0,0.0,0.0,0.0,47.56,7.16,11.57,7.29,52.75,3.15,0.11,0.46,0.16,0.59,1.48,1.8,2.31,2.07,0.0,0.0,0.05,0.13,0.05,0.38,0.24,0.0,0.0,0.03,0.05,0.05,3.31,2.18,1.99,1.16,0.16,1.08,2.83,38.1,1.75,15.93,6.08,38.2,8.02,6.46,1.45,2.5,0.7,0.0,2.1,5.41,3.01,0.08,80.58,5.97,25.78,44.97,13.16,1.43,79.05,0.57,0.92,61.8,0.62,0.13,46.96,178.74,97.37,2.85,0.81,0.05,0.89,0.89,57.57,54.74,95.1,1.37,0.0,2.31,1.67,0.08,0.03,0.0,0.0,11.73,3.96,1.83,68.4
8,2afc7272,Lewis Cook,Bournemouth,Premier League,175,69,Midfielder,Right,England,25.7,Lewis Cook - 25.7 - Bournemouth,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.1,0.12,0.32,0.0,0.0,0.0,,23.2,0.11,0.04,-0.01,-0.01,31.01,38.79,79.9,590.78,146.07,12.21,13.94,87.6,14.59,16.42,88.8,4.0,6.37,62.7,1.3,2.7,0.86,0.32,3.13,36.63,2.16,1.62,0.0,4.86,0.76,0.97,0.54,0.43,0.11,0.0,28.09,4.43,6.27,4.11,31.98,2.27,0.0,0.0,0.22,0.32,1.19,1.19,1.73,1.4,0.32,0.0,0.0,0.0,0.0,0.22,0.22,0.0,0.0,0.0,0.0,0.0,1.94,0.97,0.76,0.97,0.22,0.86,1.94,44.4,1.08,15.13,4.0,26.4,5.4,7.35,2.38,1.51,0.32,0.0,1.51,3.46,1.19,0.0,48.19,3.46,16.42,24.2,10.7,0.22,45.92,0.22,0.76,28.6,0.22,0.11,27.23,152.12,77.03,2.59,0.76,0.0,0.32,1.08,29.06,27.33,94.1,0.22,0.0,0.97,0.54,0.0,0.0,0.0,0.0,10.37,0.43,0.97,30.8
9,60344e4f,Josh Dasilva,Brentford,Premier League,175,68,Midfielder,Left,England,23.99,Josh Dasilva - 23.99 - Brentford,0.25,0.0,0.25,0.0,0.0,0.12,0.12,0.02,0.02,0.07,0.1,0.61,0.37,60.0,0.4,0.67,16.6,0.0,0.05,0.22,0.22,29.84,37.57,79.4,546.63,143.04,13.26,15.23,87.1,12.65,15.47,81.7,3.32,5.03,65.9,0.86,1.72,1.72,0.49,2.82,36.22,1.35,0.37,0.0,7.12,0.49,2.21,0.49,0.25,0.0,0.0,28.49,4.42,4.67,28.98,6.02,1.35,0.37,0.12,0.0,0.61,1.23,1.47,1.84,1.72,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,1.23,0.49,0.49,0.37,0.37,0.25,1.23,20.0,0.98,15.84,3.32,20.9,2.95,9.21,3.68,1.96,0.49,0.0,0.98,2.21,1.47,0.0,48.5,2.09,10.07,22.59,20.26,2.7,47.39,1.6,2.33,68.4,1.72,0.0,35.73,223.47,136.04,5.4,2.7,0.86,1.6,1.35,38.43,32.41,84.3,4.17,0.0,1.11,1.11,0.0,0.0,0.0,0.0,8.1,0.74,0.86,46.2
